volume,formula,band_gap,density,formation_energy_per_atom,a,b,c,alpha,beta,gamma
166.289891,Si7Ge1,0.4267,2.688564198,0.070136229,5.499062,5.499062,5.499062,90,90,90
43.74092648,Si1Ge1,0.8585,3.823847394,0.060241848,3.95488924,3.95488924,3.95488924,60,60,60
74.24575368,Si1Ge3,0,5.502021639,0.421127111,5.47157511,5.47157511,5.47157511,137.3753713,137.3753713,61.86100596
63.53912666,Si3Ge1,0,4.100351726,0.580799631,4.47904487,4.47904487,4.47904487,60,60,60
702.5585179,Si16Ge16,0.5091,3.809131874,0.052982758,5.600638,11.199397,11.20083406,89.99395881,90,90
146.06829,Si8,0,2.554261158,0.16068323,5.77079208,5.77079208,5.77079155,109.8075594,109.8075594,109.8075664
61.42328595,Si4,0,3.037093782,0.489823953,4.99073639,4.99073639,3.991753,90,90,141.8451503
1400.906116,Si58,0.7878,1.930857484,0.144235737,10.01843953,10.01843953,16.116778,90,90,119.9999969
1601.147421,Si68,1.363,1.98065507,0.058258746,10.41140729,10.41140729,17.056181,90,90,119.9999955
38.76710886,Ge2,0,6.22288127,0.33115365,2.99112368,2.99112368,5.003386,90,90,119.9999929
258.0887513,Ge12,0.8732,5.608375747,0.149389907,6.02665,6.02665,7.105868,90,90,90
191.0518736,Ge8,0,5.050840089,0.013707688,4.08071624,4.08071624,13.247926,90,90,120.0000039
19.65299686,Ge1,0,6.137565617,0.334029505,3.02910686,3.02910686,3.02910686,60,60,60
99.24401665,Si6,0,2.819539446,0.453738327,5.09237465,5.09237465,4.419092,90,90,120.0000084
156.191675,Ge4,0.791,3.089064965,0.476145725,4.05040507,4.05040507,10.993359,90,90,120.0000176
