kpoint total_energy error
6 -35906.97897527 0.67779081
10 -35906.97505166 0.00392361
14 -35906.98093789 0.00588623
18 -35906.98106456 0.00012667
22 -35906.98007964 0.00098492
26 -35906.98079979 0.00072015
30 -35906.98011746 0.00068233
34 -35906.98024876 0.00013129
38 -35906.98017175 0.00007701
42 -35906.98007760 0.00009415
46 -35906.97991324 0.00016436
50 -35906.98043665 0.00052341
54 -35906.98034903 0.00008762
58 -35906.98031910 0.00002993
62 -35906.98042781 0.00010871
66 -35906.98026767 0.00016014
70 -35906.98032196 0.00005429
74 -35906.98026291 0.00005905
78 -35906.98042767 0.00016476
82 -35906.98026822 0.00015946
86 -35906.98029692 0.00002871
90 -35906.98028536 0.00001156
94 -35906.98034250 0.00005714
98 -35906.98026549 0.00007701
