kpoint total_energy error
6 -3369.03816287 1.22715913
10 -3368.99397416 0.04418870
14 -3368.98236701 0.01160715
18 -3368.98939490 0.00702788
22 -3368.99357252 0.00417763
26 -3368.99803206 0.00445954
30 -3368.99643176 0.00160030
34 -3368.99669557 0.00026381
38 -3368.99589678 0.00079879
42 -3368.99399702 0.00189976
46 -3368.99346871 0.00052831
50 -3368.99525623 0.00178752
54 -3368.99511418 0.00014204
58 -3368.99481309 0.00030109
62 -3368.99599488 0.00118179
66 -3368.99595883 0.00003606
70 -3368.99550344 0.00045538
74 -3368.99581801 0.00031456
78 -3368.99576018 0.00005782
