symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
H,14.01,,31.0,13.598443,2.979865165,2.2,0.0899,,0.666793,2.365120549,-0.743522794,1.0,0.0,0.666793,1.0,0.0,18618.0519408073,5.2,1.0,1.0,0.0,,1.2,,0.0,,,1.0,1.25,0.1805,0.25,,13.598443,0.0,0.0,,"[-1.0, 1.0]",0.0,1.00794,0.452,92.0,6.615,1.0,0.0,72.8,0.0,0.0,11.42,1.0,32.02,0.0,194.0,14.304,2.3,20.13,-3.331290765,28.836,1.5,0.06,,,0.0,1.0,0.06,7.853
He,,,28.0,24.587387,3.664774046,,0.1785,,0.2050522,2.908733088,-0.820161072,2.0,0.0,0.2050522,2.0,0.0,37236.0355633452,,2.0,1.0,0.0,3200.0,1.4,3900.0,0.0,,,0.0,,0.1513,,,,0.0,0.0,54.41776,[],0.0,4.002602,0.083,98.0,12.305,0.0,0.0,0.0,0.0,0.0,21.0,18.0,19.08,0.0,225.0,5.13,4.16,4.07,0.0011354,20.786,,,,,0.0,1.0,,18.098
Li,453.69,152.0,128.0,5.391719,4.048845545,0.98,535.0,0.985,24.335,3.213570838,1.929418926,1.0,0.0,24.335,1.0,1.0,21.5440580798753,2.85,3.0,0.0,0.0,2900.0,1.82,4200.0,0.0,11.0,0.625,1.0,1.61,85.0,1.45,4.2,,0.0,0.0,75.64,[1.0],0.0,6.941,147.0,1.0,16.5933333333,1.0,1.0,59.6,0.0,0.0,13.02,1.0,21.63,0.0,229.0,3.582,0.912,1615.0,-1.86988691,24.86,0.98,3.0,,0.36,0.0,2.0,3.0,0.0
Be,1560.0,112.0,96.0,9.3227,3.160183721,1.57,1848.0,0.64,5.6,2.508239481,2.278753601,2.0,0.0,5.6,2.0,1.0,8.09817645544979,5.05,4.0,0.0,0.0,8000.0,1.53,4000.0,0.0,130.0,0.44,0.0,1.08,190.0,1.05,132.0,,0.0,0.0,18.21114,[2.0],0.0,9.012182,297.0,67.0,7.89,0.0,1.0,0.0,0.0,0.0,4.85,2.0,8.11,0.0,194.0,1.825,1.576,2743.0,-3.755038695,16.443,1.67,7.895,,0.2,0.0,2.0,7.895,0.0
B,2348.0,88.0,84.0,8.29802,3.061330249,2.04,2460.0,0.48,3.03,2.429779429,1.431363764,2.0,0.0,3.03,3.0,0.0,7.29776726528474,5.3,5.0,0.0,0.0,2900.0,1.92,2000.0,5.0,320.0,0.315,0.0,0.795,27.0,0.85,,,1.0,0.0,25.1548,[3.0],0.0,10.811,507.0,72.0,7.1725,5.0,0.0,26.7,0.0,0.0,4.39,13.0,7.75,0.0,166.0,1.026,2.051,4273.0,-6.67769815417,11.087,1.75,50.2,,0.165,1.0,2.0,50.2,1.524
C,3823.0,77.0,76.0,11.2603,2.825615289,2.55,2260.0,0.39,1.67,2.242692341,2.146128036,2.0,0.0,1.67,4.0,0.0,8.82508971529172,6.24,6.0,1.0,0.0,500.0,1.7,500.0,4.0,33.0,0.25,0.0,0.64,140.0,0.7,,,0.0,0.0,24.3833,"[-4.0, 2.0, 4.0]",0.0,12.0107,715.0,77.0,5.64,4.0,0.0,153.9,0.0,0.0,5.29,14.0,5.67,0.0,194.0,0.709,2.544,4300.0,-9.209713655,8.517,1.77,117.4,,0.14,2.0,2.0,117.4,4.496
N,63.05,72.0,71.0,14.5341,3.894645292,3.04,1.251,0.33,1.1,3.091182017,-1.587875594,2.0,0.0,1.1,5.0,0.0,18592.4989666188,6.86,7.0,1.0,0.0,1300.0,1.55,500.0,3.0,,0.21,0.0,0.54,0.02583,0.65,,,0.0,0.0,29.6013,"[-3.0, -2.0, -1.0, 1.0, 2.0, 3.0, 4.0, 5.0]",0.0,14.0067,2.79,82.0,14.76875,3.0,0.0,7.0,0.0,0.0,13.54,15.0,22.68,0.0,194.0,1.04,3.066,77.21,-8.21144121,29.124,1.65,0.355,,0.12,3.0,2.0,0.355,6.437
O,54.8,64.0,66.0,13.61805,3.314718462,3.44,1.429,0.285,0.802,2.630893787,-1.575445023,2.0,0.0,0.802,6.0,0.0,18592.1971664894,,8.0,1.0,0.0,500.0,1.52,500.0,2.0,,0.18,0.0,0.465,0.02658,0.6,,,0.0,0.0,35.1211,[-2.0],0.0,15.9994,3.41,87.0,9.105,2.0,0.0,141.0,0.0,0.0,17.36,16.0,17.36,0.0,12.0,0.918,3.61,90.1,-4.756791905,29.378,,0.22,,0.105,4.0,2.0,0.22,0.0
F,53.5,,57.0,17.4228,3.386276865,3.98,1.696,0.25,0.557,2.687689729,-1.557520231,2.0,0.0,0.557,7.0,0.0,18601.6085673286,,9.0,1.0,0.0,1500.0,1.47,1500.0,1.0,,0.155,0.0,0.405,0.0277,0.5,,,0.0,0.0,34.9708,[-1.0],0.0,18.9984032,3.27,93.0,9.7075,1.0,0.0,328.0,0.0,0.0,11.2,17.0,16.42,0.0,15.0,0.824,4.193,84.88,-1.6980609575,31.304,,0.255,,0.095,5.0,2.0,0.255,1.97
Ne,24.56,,58.0,21.56454,3.697734186,,0.9,0.22,0.39432,2.934893568,-1.308918508,2.0,0.0,0.39432,8.0,0.0,37232.1856895088,,10.0,1.0,0.0,,1.54,,0.0,,0.14,0.0,0.36,0.0491,,,,0.0,0.0,40.96296,[],0.0,20.1791,1.75,99.0,12.64,0.0,0.0,0.0,0.0,0.0,13.23,18.0,23.09,0.0,225.0,1.03,4.787,26.92,0.09403567,20.786,,0.164,,0.08,6.0,2.0,0.164,13.088
Na,370.87,180.0,166.0,5.139076,4.890601634,0.93,968.0,1.1,24.11,3.88167309,2.146128036,1.0,0.0,24.11,1.0,1.0,39.4383288822527,2.7,11.0,0.0,0.0,1100.0,2.27,500.0,0.0,6.3,1.55,1.0,2.65,140.0,1.8,3.3,,0.0,0.0,47.2864,[1.0],0.0,22.98976928,97.7,2.0,29.2433333333,1.0,1.0,52.8,0.0,0.0,23.78,1.0,39.76,0.0,229.0,1.228,0.869,1156.0,-1.26024138333,28.23,0.82,2.6,,0.45,0.0,3.0,2.6,0.0
Mg,923.0,160.0,141.0,7.646235,4.50714913,1.31,1738.0,0.9,10.76666667,3.577326635,2.204119983,2.0,0.0,10.7666666667,2.0,1.0,23.2222930956267,3.45,12.0,0.0,0.0,5300.0,1.73,500.0,0.0,45.0,1.13,0.0,2.03,160.0,1.5,17.0,,0.0,0.0,15.03527,[2.0],0.0,24.305,128.0,68.0,22.89,0.0,1.0,0.0,0.0,0.0,14.0,2.0,23.48,0.0,194.0,1.023,1.293,1363.0,-1.54227231,24.869,1.17,8.48,,0.23,0.0,3.0,8.48,0.0
Al,933.47,141.0,121.0,5.985768,4.039606536,1.61,2700.0,0.77,6.8,3.206237833,2.371067862,2.0,0.0,6.8,3.0,0.0,16.5944245175099,4.2,13.0,0.0,0.0,1600.0,1.84,1000.0,5.0,76.0,0.905,0.0,1.675,235.0,1.25,26.0,,0.0,0.0,18.82855,[3.0],0.0,26.9815386,293.0,73.0,16.48,5.0,1.0,42.5,0.0,0.0,10.0,13.0,16.61,0.0,225.0,0.897,1.613,2792.0,-3.74542312,24.2,1.39,10.71,,0.135,1.0,3.0,10.71,0.0
Si,1687.0,110.0,111.0,8.15168,4.340238825,1.9,2330.0,0.68,5.53,3.444849839,2.176091259,2.0,0.0,5.53,4.0,0.0,20.0163777166128,4.7,14.0,0.0,0.0,4700.0,2.1,1000.0,4.0,100.0,0.74,0.0,1.42,150.0,1.1,,,1.0,0.0,16.34584,"[-4.0, 2.0, 4.0]",0.0,28.0855,359.0,78.0,20.44,4.0,0.0,133.6,0.0,0.0,12.06,14.0,20.02,0.0,227.0,0.712,1.916,3173.0,-5.424918005,19.99,1.5,50.21,,0.06,2.0,3.0,50.21,0.773
P,317.3,102.0,107.0,10.48669,4.486063093,2.19,1823.0,0.6,3.63,3.560590636,-0.627087997,2.0,0.0,3.63,5.0,0.0,28.2141218166412,5.55,15.0,1.0,0.0,2000.0,1.8,5100.0,3.0,11.0,0.64,0.0,1.24,0.236,1.0,,,0.0,0.0,19.7695,"[-3.0, 3.0, 5.0]",0.0,30.973762,12.4,83.0,22.5702380952,3.0,0.0,72.0,0.0,0.0,17.02,15.0,18.99,0.0,2.0,0.769,2.253,553.5,-5.4005090425,23.824,1.65,18.54,,0.04,3.0,3.0,18.54,1.625
S,388.36,103.0,105.0,10.36001,4.689784664,2.58,1960.0,0.54,2.9,3.722284555,-0.688246139,2.0,0.0,2.9,6.0,0.0,27.1665457946712,,16.0,1.0,0.0,700.0,1.8,1000.0,2.0,7.7,0.56,0.0,1.1,0.205,1.0,,,0.0,0.0,23.33788,"[-2.0, 4.0, 6.0]",0.0,32.065,9.8,88.0,25.786875,2.0,0.0,200.0,0.0,0.0,15.53,16.0,25.76,0.0,70.0,0.708,2.589,717.72,-4.09721671875,22.7,,1.721,,0.02,4.0,3.0,1.721,2.202
Cl,171.6,,102.0,12.96763,4.610279469,3.16,3.214,0.5,2.18,3.65918124,-2.050609993,2.0,0.0,2.18,7.0,0.0,18317.5070375642,,17.0,1.0,0.0,1500.0,1.75,1000.0,1.0,1.1,0.51,0.0,1.01,0.0089,1.0,,,0.0,0.0,23.8136,"[-1.0, 1.0, 5.0, 7.0]",0.0,35.453,10.2,94.0,24.4975,1.0,0.0,349.0,0.0,0.0,17.39,17.0,29.05,0.0,64.0,0.479,2.869,238.96,-1.784433755,33.949,,3.2,,0.01,5.0,3.0,3.2,2.493
Ar,83.8,,106.0,15.75961,4.851074973,,1.784,0.46,1.6411,3.850300758,-1.751536282,2.0,0.0,1.6411,8.0,0.0,37184.285422807,,18.0,1.0,0.0,,1.88,,0.0,,0.46,0.0,0.92,0.01772,0.71,,,0.0,0.0,27.62966,[],0.0,39.948,6.5,100.0,28.54,0.0,0.0,0.0,0.0,0.0,22.56,18.0,36.3,0.0,225.0,0.52,3.242,87.2,0.05854104,20.786,,1.18,,0.0,6.0,3.0,1.18,9.26
K,336.53,230.0,203.0,4.3406633,6.637517176,0.82,856.0,1.54,43.23,5.268200874,2.0,1.0,0.0,43.23,1.0,1.0,75.8478646830779,2.25,19.0,0.0,0.0,1700.0,2.75,7200.0,0.0,3.1,2.15,1.0,3.69,100.0,2.2,1.3,,0.0,0.0,31.63,[1.0],0.0,39.0983,76.9,3.0,73.1066666667,1.0,1.0,48.4,0.0,0.0,45.94,1.0,75.63,0.0,229.0,0.757,0.734,1032.0,-1.09753971333,29.6,0.65,2.335,0.37,0.61,0.0,4.0,2.335,0.0
