Formula,MP id,Difficulty,Nsites,GGA,,HSE,,MP,Final expt. data,
,,,,"Band gap, eV ",,"Band gap, eV ",,"Band gap, eV","Band gap , eV",Ref. DOI
,,,,Direct,Indirect,Direct,Indirect,,,
NbO2,mp-557057,1,24,0.49,0.27,,,0.17,0.25,10.1063/1.3253115
Si3H,mp-995193,1,8,1.36,0.82,,,0.90,,
Si2Mo,mp-8938,1,9,0.60,0.12,,,0.09,,
SeO2,mp-560882,1,12,3.59,3.36,,,3.42,,
SeF4,mp-29172,1,20,4.07,4.02,5.41,5.28,4.14,,
SeBr2,mp-861891,1,6,0.77,0.77,1.74,1.74,0.82,,
SeBr,mp-540943,1,16,1.69,1.48,2.56,2.30,1.74,,
ScF3,mp-10694,1,4,6.48,5.95,9.17,8.56,6.07,,
ScCl3,mp-23309,1,8,3.70,3.60,5.08,4.88,3.87,,
Si3N4,mp-988,1,14,4.51,4.31,6.06,5.81,4.25,5.10,10.1063/1.3253115
Sc4C3,mp-15661,1,14,0.38,0.38,,,0.33,,
Sc2S3,mp-401,1,20,0.85,0.83,1.70,1.69,0.64,2.00,10.1063/1.3253115
Sc2O3,mp-755313,1,10,4.23,4.12,6.09,5.93,4.13,,
SO3,mp-561397,1,16,5.17,5.09,,,5.14,,
SO2,mp-27726,1,6,3.27,2.66,4.78,3.94,2.84,,
SF6,mp-8560,1,7,5.70,5.70,8.46,8.46,5.78,,
SCl,mp-28096,1,16,2.72,2.67,3.77,3.74,2.87,,
SBr,mp-28099,1,8,2.05,1.84,2.99,2.77,2.23,,
RuSe2,mp-1922,1,12,0.68,0.33,,,0.31,1.00,10.1063/1.3253115
RuS2,mp-2030,1,12,0.89,0.63,2.02,1.55,0.67,1.80,10.1063/1.3253115
RuO4,mp-547094,1,10,2.42,2.36,3.37,3.25,2.38,,
RuF6,mp-1025168,1,7,0.00,0.00,0.00,0.00,0.00,,
Sc2Se3,mp-684690,1,10,1.05,0.47,1.41,0.97,0.54,,
RuF4,mp-974434,1,10,0.00,0.00,,,0.53,,
Si3Ru2,mp-20191,1,20,0.41,0.41,0.84,0.83,0.38,,
ClF,mp-29504,1,8,1.92,1.92,3.51,3.51,2.05,,
ClF3,mp-556767,1,16,2.57,2.54,4.66,4.62,2.58,,
ClO3,mp-22869,1,16,1.25,1.25,2.54,2.53,1.36,,
Cu2O,mp-361,1,6,0.48,0.48,1.97,1.97,0.50,2.00,10.1139/p66-128
Cu2O3,mp-760432,1,10,0.28,0.26,1.37,1.32,0.12,,
Cu2S,mp-618991,1,12,0.78,0.60,1.90,1.75,0.13,1.70,10.1063/1.3253115
Cu2Se,mp-1021499,1,12,0.71,0.29,1.64,1.31,0.76,1.30,10.1063/1.3253115
Cu3Se2,mp-20683,1,10,0.00,0.00,0.00,0.00,0.10,,
Cu9S5,mp-542333,1,14,0.00,0.00,,,0.15,,
CuBr,mp-22913,1,2,0.54,0.54,,,0.49,2.99,10.1063/1.3253115
CuCl,mp-22914,1,2,0.65,0.65,,,0.56,3.31,10.1063/1.3253115
CuCl2,mp-30999,1,3,0.00,0.00,0.00,0.00,0.09,,
MgF2,mp-1249,1,6,7.07,7.07,9.88,9.88,6.82,10.80,10.1063/1.3253115
SiSe2,mp-568264,1,6,1.75,1.61,2.69,2.38,2.15,1.74,10.1063/1.3253115
SiS2,mp-1602,1,6,3.00,2.80,4.08,3.69,3.07,,
SiRu,mp-189,1,8,0.37,0.26,0.82,0.72,0.23,,
SiH8,mp-972825,1,9,7.12,6.99,7.84,7.53,6.98,,
SiH4,mp-23739,1,20,5.85,5.85,6.00,5.98,6.56,,
SiH,mp-29803,1,4,1.99,1.90,2.53,2.36,2.16,,
SiF4,mp-1818,1,5,8.35,7.68,10.91,10.14,7.72,,
SiCl4,mp-28391,1,20,5.54,5.47,7.08,6.99,5.55,,
SiC,mp-8062,1,2,4.54,1.35,5.76,2.24,1.37,2.20,10.1063/1.3253115
SiBr4,mp-574086,1,20,3.97,3.89,5.26,5.17,4.11,,
SiAs,mp-1863,1,12,1.59,1.36,1.39,1.30,1.45,1.45,10.1063/1.3253115
CuP2,mp-927,1,12,0.84,0.84,,,0.86,1.40,10.1063/1.3253115
Cl2O7,mp-31050,1,18,3.71,3.60,,,3.66,,
N2O5,mp-504769,1,14,0.91,0.79,3.17,3.01,0.66,,
MoSe2,mp-1634,1,6,1.36,0.88,1.99,1.43,1.42,,
MoO3,mp-715584,1,16,1.83,1.71,3.14,2.96,1.83,2.96,10.1063/1.3253115
MoO2,mvc-13677,1,12,0.00,0.00,0.00,0.00,1.09,,
ZrSe3,mp-1683,1,8,0.46,0.16,1.09,0.73,0.39,1.25,10.1063/1.3253115
MoF6,mp-558836,1,7,3.92,3.83,5.48,5.40,4.25,,
MoF5,mvc-14217,1,12,0.00,0.00,,,2.10,,
MoF3,mp-557539,1,8,0.00,0.00,,,3.57,,
MoBr3,mp-23312,1,16,0.87,0.61,1.57,1.35,0.77,,
NO2,mp-2789,1,18,2.71,2.71,4.23,4.23,2.81,,
MgP4,mp-384,1,10,0.63,0.63,1.21,1.15,0.73,,
Mg2Si,mp-1367,1,3,2.02,0.18,2.64,0.56,0.22,0.60,10.1063/1.3253115
Mg3As2,mp-7891,1,5,0.98,0.92,1.71,1.57,0.87,1.00,10.1063/1.3253115
MgAs4,mp-7623,1,20,0.78,0.76,1.37,1.35,0.81,,
MgB4,mp-365,1,20,0.88,0.41,1.28,0.73,0.36,,
MgBr2,mp-30034,1,3,4.35,4.35,5.58,5.57,4.47,,
