"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-29298","Ba4Ti13O30","Cmce","-3.537","0","2.535","false","1225.122","94","false","51","4.477","orthorhombic",""
"mp-558159","BaTi2O5","Pnma","-3.542","0","2.806","true","457.065","32","false","","4.549","orthorhombic",""
"mp-5020","BaTiO3","R3m","-3.502","0","2.621","true","67.97","5","false","","5.697","trigonal",""
"mp-7733","Ba2Ti6O13","C2/m","-3.498","0","0.000","true","274.085","21","false","","4.664","monoclinic",""
"mp-759489","BaTi8O16","C2","-3.493","0","0.000","true","621.93","50","true","","4.145","monoclinic",""
"mp-28917","Ba2Ti13O22","Cmce","-3.375","0","0.000","true","840.128","74","false","","4.937","orthorhombic",""
"mp-3397","Ba2TiO4","P21/c","-3.408","0","4.144","true","517.097","28","false","","4.965","monoclinic",""
"mp-531527","Ba3Ti20O40","C2/m","-3.487","0","0.000","false","780.735","63","true","","4.274","monoclinic",""
"mp-5777","BaTiO3","Amm2","-3.501","0","2.373","true","67.775","5","false","","5.713","orthorhombic",""
"mp-757266","BaTi7O14","P1","-3.488","0.001","0.000","false","1093.029","88","true","","4.232","triclinic",""
"mp-752852","BaTi8O16","P1","-3.492","0.001","0.000","true","311.958","25","true","","4.132","triclinic",""
"mp-554529","Ba2TiO4","Pna21","-3.407","0.001","4.264","true","1548.941","84","false","","4.972","orthorhombic",""
"mp-15761","Ba4Ti12O27","C2/m","-3.516","0.003","0.000","true","1098.545","86","false","","4.703","monoclinic",""
"mp-5986","BaTiO3","P4mm","-3.498","0.003","1.830","true","67.36","5","false","","5.749","tetragonal",""
"mp-558125","BaTiO3","C2221","-3.498","0.003","2.081","true","413.715","30","false","","5.616","orthorhombic",""
"mp-757206","BaTi6O12","I4/m","-3.48","0.004","0.000","true","469.237","38","true","","4.364","tetragonal",""
"mp-560731","Ba2Ti9O20","P1","-3.526","0.005","2.739","true","1532.631","124","false","","4.444","triclinic",""
"mp-27790","BaTi5O11","P21/c","-3.523","0.006","2.623","false","831.304","68","false","","4.416","monoclinic",""
"mp-1214495","Ba3TiO5","I4/mcm","-3.272","0.008","2.795","false","330.255","18","true","","5.429","tetragonal",""
"mp-5933","BaTiO3","P63/mmc","-3.493","0.008","1.726","true","408.932","30","false","","5.682","hexagonal",""
"mp-3175","BaTi4O9","Pmmn","-3.524","0.009","2.731","true","359.556","28","false","","4.367","orthorhombic",""
"mp-556729","Ba6Ti17O40","C2/c","-3.528","0.009","2.620","false","1646.097","126","false","","4.595","monoclinic",""
"mp-504457","BaTi6O13","P1","-3.516","0.011","2.670","true","475.145","40","false","","4.421","triclinic",""
