"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-28229","Bi4Te3","R3m","-0.174","0","0.256","true","250.804","7","true","11","8.069","trigonal",""
"mp-34202","Bi2Te3","R3m","-0.236","0","0.386","true","178.033","5","false","","7.469","trigonal",""
"mp-580062","Bi8Te9","R3m","-0.21","0.001","0.075","false","607.319","17","false","","7.711","trigonal",""
"mp-23224","BiTe","P3m1","-0.199","0.001","0.019","true","433.982","12","false","","7.727","trigonal",""
"mp-1214397","Bi8Te7","P3m1","-0.183","0.005","0.095","false","1624.284","45","true","","7.867","trigonal",""
"mp-567362","BiTe","Fm3m","-0.096","0.103","0.000","true","68.867","2","false","","8.116","cubic",""
"mp-1227339","BiTe","R3m","-0.085","0.114","0.000","true","67.449","2","true","","8.286","trigonal",""
"mp-1227413","Bi2Te","I42d","0.002","0.138","0.000","true","203.961","6","true","","8.883","tetragonal",""
"mp-35216","BiTe3","R3m","0.048","0.195","0.000","true","133.81","4","true","","7.344","trigonal",""
"mp-568390","Bi2Te3","R3m","0.012","0.248","0.023","true","170.331","5","true","","7.807","trigonal",""
"mp-1227305","BiTe","Cmmm","0.156","0.355","0.000","true","62.506","2","true","","8.942","orthorhombic",""
