"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-13","Fe","Im3m","0","0","0.000","true","11.454","1","false","10","8.096","cubic",""
"mp-1271693","Fe","Cmcm","0.054","0.054","0.000","false","42.607","4","true","","8.706","orthorhombic",""
"mp-1271562","Fe","I4/mmm","0.067","0.067","0.000","false","45.741","4","true","","8.109","tetragonal",""
"mp-136","Fe","P63/mmc","0.097","0.097","0.000","true","20.536","2","false","","9.031","hexagonal",""
"mp-1271295","Fe","I4/mmm","0.098","0.098","0.000","false","21.774","2","false","","8.518","tetragonal",""
"mp-150","Fe","Fm3m","0.154","0.154","0.000","true","12.114","1","false","","7.655","cubic",""
"mp-1245108","Fe","P1","0.274","0.274","0.000","false","1164.169","100","true","","7.966","triclinic",""
"mp-1096950","Fe","P6/mmm","0.476","0.476","0.000","true","12.853","1","true","","7.215","hexagonal",""
"mp-1194030","Fe","P42/mnm","0.18","0.498","0.000","false","339.738","28","true","","7.643","tetragonal",""
"mp-568345","Fe","Pm3m","0.761","0.761","0.000","true","13.408","1","true","","6.916","cubic",""
