"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1340","Ga2Se3","Cc","-0.584","0","1.684","true","262.145","10","false","10","4.768","monoclinic",""
"mp-1572","GaSe","P6m2","-0.591","0","1.257","true","224.858","8","false","","4.392","hexagonal",""
"mp-568263","GaSe","P63mc","-0.591","0","1.218","true","441.914","16","false","","4.47","hexagonal",""
"mp-1943","GaSe","P63/mmc","-0.591","0","1.248","true","224.038","8","false","","4.408","hexagonal",""
"mp-11342","GaSe","R3m","-0.589","0.002","1.362","true","111.866","4","false","","4.414","trigonal",""
"mp-1224809","Ga2Se3","Imm2","-0.574","0.01","0.525","true","133.667","5","true","","4.675","orthorhombic",""
"mp-1184214","Ga3Se","Pm3m","-0.05","0.245","0.000","true","87.084","4","true","","5.494","cubic",""
"mp-680721","GaSe2","I43m","-0.18","0.307","0.000","false","5403.231","72","false","","1.679","cubic",""
"mp-568128","GaSe","P63/mmc","-0.192","0.399","0.000","true","226.818","8","false","","4.354","hexagonal",""
"mp-672302","Ga2Se3","Cc","-0.151","0.433","0.593","true","382.51","10","true","","3.267","monoclinic",""
