"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-20072","LaCuO2","R3m","-2.696","0","2.566","true","73.119","4","false","27","5.324","trigonal",""
"mp-9416","La(CuO2)2","I41/a","-2.053","0","0.000","true","172.195","14","true","","6.365","tetragonal",""
"mp-3474","LaCuO3","R3c","-2.433","0","0.000","true","117.979","10","false","","7.05","trigonal",""
"mp-1077929","La2CuO4","I4/mmm","-3.051","0","0.000","true","101.516","7","false","","6.631","tetragonal",""
"mp-1076070","LaCuO3","Pm3m","-2.409","0.024","0.000","true","58.036","5","true","","7.166","cubic",""
"mp-772159","La6Cu6O17","C2/m","-2.468","0.031","0.000","true","414.406","29","true","","5.957","monoclinic",""
"mp-1147637","La2Cu2O5","P42/m","-2.546","0.038","0.000","false","248.228","18","true","","6.488","tetragonal",""
"mp-766360","La6Cu6O17","P312","-2.46","0.039","0.000","true","414.129","29","true","","5.961","trigonal",""
"mp-753437","La5Cu5O13","P2/m","-2.52","0.045","0.000","true","284.763","23","true","","7.116","monoclinic",""
"mp-5696","La2Cu2O5","Pbam","-2.533","0.051","0.000","true","227.054","18","false","","7.093","orthorhombic",""
"mp-772213","La4CuO8","Cmmm","-3.119","0.057","0.000","true","182.22","13","true","","6.809","orthorhombic",""
"mp-36480","La2CuO4","Cmce","-2.993","0.058","0.000","true","194.542","14","false","","6.92","orthorhombic",""
"mp-654033","La2Cu2O5","C2/c","-2.522","0.062","0.000","false","706.748","54","false","","6.836","monoclinic",""
"mp-849992","La20Cu9O40","P1","-3.025","0.065","0.000","false","952.233","69","true","","6.958","triclinic",""
"mp-1178323","La2Cu2O5","P1","-2.519","0.065","0.000","false","353.63","27","true","","6.831","triclinic",""
"mp-680389","La8Cu7O19","P1","-2.614","0.066","0.000","false","891.094","68","true","","6.932","triclinic",""
"mp-1181551","La8Cu7O19","C2/c","-2.612","0.068","0.000","false","905.223","68","false","","6.824","monoclinic",""
"mp-1180676","La2CuO4","Cmce","-2.981","0.07","0.000","true","191.489","14","false","","7.03","orthorhombic",""
"mp-1223234","La2CuO4","Fmm2","-2.98","0.07","0.000","true","96.053","7","true","","7.008","orthorhombic",""
"mp-19735","La2CuO4","I4/mmm","-2.979","0.071","0.000","true","96.179","7","false","","6.998","tetragonal",""
"mp-757399","La12Cu6O25","C2","-2.945","0.072","0.000","true","576.556","43","true","","7.051","monoclinic",""
"mp-1178189","La8Cu3O16","P1","-3.068","0.072","0.000","false","743.955","54","true","","6.954","triclinic",""
"mp-776310","La8Cu3O16","P1","-3.065","0.075","0.000","false","374.068","27","true","","6.916","triclinic",""
"mp-673846","La2CuO4","Cmc21","-2.973","0.078","0.000","true","578.336","42","true","","6.983","orthorhombic",""
"mp-675164","La12Cu10O31","C2","-2.553","0.09","0.000","true","803.15","53","true","","5.786","monoclinic",""
"mp-1076053","La2Cu2O5","Ima2","-2.491","0.093","0.000","false","240.783","18","true","","6.688","orthorhombic",""
"mp-758138","La16Cu8O31","P1","-2.968","0.107","0.000","false","786.615","55","true","","6.812","triclinic",""
