"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-978114","Sn5O6","P21/c","-1.778","0","1.767","true","402.004","22","true","45","5.697","monoclinic",""
"mp-856","SnO2","P42/mnm","-2.123","0","1.407","true","75.734","6","false","","6.609","tetragonal",""
"mp-2097","SnO","P4/nmm","-1.646","0","0.630","true","75.285","4","false","","5.942","tetragonal",""
"mvc-6611","SnO2","Imma","-2.123","0","0.648","true","151.491","12","true","","6.608","orthorhombic",""
"mp-545820","SnO","Cmce","-1.645","0.001","0.736","true","153.188","8","false","","5.841","orthorhombic",""
"mp-550172","SnO2","Pnnm","-2.121","0.002","0.823","true","75.517","6","false","","6.628","orthorhombic",""
"mp-555487","SnO2","Pbcn","-2.111","0.012","0.847","true","450.694","36","false","","6.663","orthorhombic",""
"mp-12978","SnO2","Pbcn","-2.105","0.018","0.978","true","148.495","12","true","","6.741","orthorhombic",""
"mp-755071","SnO2","I41/amd","-2.066","0.057","1.501","true","85.236","6","true","","5.872","tetragonal",""
"mvc-15363","SnO2","I4/m","-2.055","0.069","1.783","false","186.658","12","true","","5.363","tetragonal",""
"mp-545552","SnO","Pmn21","-1.575","0.071","1.479","true","80.372","4","false","","5.566","orthorhombic",""
"mvc-5659","SnO2","Pnma","-2.038","0.085","1.229","false","341.745","24","true","","5.858","orthorhombic",""
"mp-697","SnO2","Pa3","-2.023","0.101","0.591","true","138.61","12","false","","7.222","cubic",""
"mp-1078644","SnO","Cmc21","-1.52","0.126","1.734","true","152.754","8","false","","5.858","orthorhombic",""
"mp-560417","SnO2","Pbca","-1.989","0.134","0.574","true","274.961","24","true","","7.281","orthorhombic",""
"mvc-11686","SnO2","R3m","-1.97","0.153","2.005","true","43.487","3","true","","5.755","trigonal",""
"mvc-9648","SnO2","R3m","-1.966","0.157","1.607","true","163.108","12","true","","6.137","trigonal",""
"mvc-6946","SnO2","P63/mmc","-1.961","0.162","2.101","true","97.529","6","true","","5.132","hexagonal",""
"mp-1245076","SnO","P1","-1.456","0.19","0.534","false","1801.981","80","true","","4.965","triclinic",""
"mvc-4323","SnO2","Fd3m","-1.932","0.191","1.841","false","185.117","12","true","","5.408","cubic",""
"mp-1245329","SnO","P1","-1.449","0.197","0.517","false","1725.604","80","true","","5.185","triclinic",""
"mvc-5316","SnO2","Cm","-1.901","0.223","0.791","false","690.494","48","true","","5.799","monoclinic",""
"mp-1245115","SnO","P1","-1.421","0.225","0.436","false","1786.417","80","true","","5.009","triclinic",""
"mp-1245133","SnO","P1","-1.407","0.239","0.481","false","1764.94","80","true","","5.07","triclinic",""
"mp-12979","SnO2","Fm3m","-1.878","0.246","0.451","true","34.114","3","true","","7.336","cubic",""
"mvc-2282","Sn5O7","Cmcm","-1.634","0.252","0.381","true","418.119","24","true","","5.604","orthorhombic",""
"mvc-5236","SnO2","P3m1","-1.866","0.257","0.000","false","559.43","36","true","","5.368","trigonal",""
"mvc-427","Sn2O3","Cmcm","-1.667","0.267","0.000","true","354.944","20","true","","5.341","orthorhombic",""
"mp-1245178","SnO2","P1","-1.847","0.276","0.265","false","1232.872","90","true","","6.09","triclinic",""
"mp-562610","SnO2","Pnma","-1.837","0.286","0.439","true","138.513","12","true","","7.227","orthorhombic",""
"mvc-9896","SnO2","P3m1","-1.824","0.299","0.000","false","535.751","36","true","","5.605","trigonal",""
"mvc-6071","SnO2","Cmcm","-1.819","0.305","0.418","true","170.706","12","true","","5.864","orthorhombic",""
"mp-1179450","Sn3O4","P4/mnc","-1.495","0.358","0.000","false","553.541","28","false","","5.041","tetragonal",""
"mp-1065811","SnO","P4/mmm","-1.202","0.444","0.000","true","32.716","2","true","","6.837","tetragonal",""
"mp-999142","SnO","P4/nmm","-1.2","0.445","0.000","true","65.296","4","true","","6.852","tetragonal",""
"mp-1245282","SnO2","P1","-1.611","0.512","0.000","false","1454.966","102","true","","5.848","triclinic",""
"mp-1219002","Sn3O8","Immm","-1.203","0.534","0.000","false","156.668","11","true","","5.131","orthorhombic",""
"mp-1245027","SnO2","P1","-1.458","0.665","0.000","false","1245.462","90","true","","6.028","triclinic",""
"mp-1245203","SnO2","P1","-1.454","0.669","0.697","false","1315.237","90","true","","5.708","triclinic",""
"mp-1245116","SnO2","P1","-1.435","0.689","0.000","false","1268.307","90","true","","5.919","triclinic",""
"mp-1244935","SnO2","P1","-1.416","0.707","0.056","false","1314.175","90","true","","5.713","triclinic",""
"mp-1245126","SnO2","P1","-1.37","0.753","0.358","false","1480.907","102","true","","5.746","triclinic",""
"mp-1244941","SnO2","P1","-1.359","0.765","0.316","false","1479.173","102","true","","5.752","triclinic",""
"mp-1244894","SnO2","P1","-1.321","0.802","0.000","false","1454.152","102","true","","5.851","triclinic",""
"mvc-13245","SnO2","P63/mmc","-0.27","1.853","0.810","false","151.437","6","true","","3.305","hexagonal",""
