"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-7262","ZnAs2","P21/c","-0.157","0","0.224","true","583.548","24","false","11","4.9","monoclinic",""
"mp-680580","Zn3As2","P42/nbc","-0.148","0","0.138","false","3390.626","160","false","","5.424","tetragonal",""
"mp-568240","Zn3As2","I41/acd","-0.147","0.001","0.180","true","1695.79","80","true","","5.422","tetragonal",""
"mp-1203368","Zn3As2","I41cd","-0.146","0.002","0.146","false","1706.59","80","false","","5.388","tetragonal",""
"mp-15700","Zn3As2","P42/nmc","-0.144","0.004","0.073","true","849.805","40","false","","5.41","tetragonal",""
"mp-7372","ZnAs","Pbca","-0.132","0.019","0.450","true","323.199","16","false","","5.768","orthorhombic",""
"mp-1196003","Zn3As2","Ia3","-0.124","0.024","0.135","false","855.926","40","false","","5.371","cubic",""
"mp-1197181","Zn3As2","I41/acd","-0.08","0.068","0.000","false","1700.521","80","false","","5.407","tetragonal",""
"mp-7845","Zn3As2","Pn3m","0.014","0.163","0.019","true","211.282","10","false","","5.44","cubic",""
"mp-1207458","Zn2As","Pn3m","0.266","0.39","0.000","true","175.264","6","true","","3.899","cubic",""
"mp-971701","ZnAs3","Fm3m","0.357","0.474","0.000","true","74.841","4","true","","6.438","cubic",""
