"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-31053","Ag2S","P21","-0.276","0","1.387","true","146.378","6","true","14","5.622","monoclinic",""
"mp-32669","Ag2S","Cmc21","-0.271","0.005","1.354","true","128.133","6","true","","6.423","orthorhombic",""
"mp-32884","Ag2S","C2/m","-0.269","0.007","1.305","false","129.092","6","true","","6.375","monoclinic",""
"mp-36216","Ag2S","Cmcm","-0.269","0.007","1.131","true","127.231","6","true","","6.468","orthorhombic",""
"mp-556225","Ag2S","P21/m","-0.268","0.008","1.097","true","126.536","6","true","","6.504","monoclinic",""
"mp-610517","Ag2S","P21/c","-0.252","0.024","0.934","true","246.589","12","false","","6.675","monoclinic",""
"mp-38511","Ag2S","Pc","-0.234","0.042","0.233","true","125.395","6","true","","6.563","monoclinic",""
"mp-1095694","Ag2S","P212121","-0.228","0.049","0.013","true","226.681","12","false","","7.261","orthorhombic",""
"mp-32868","Ag2S","P1","-0.224","0.052","0.605","true","194.757","9","true","","6.338","triclinic",""
"mp-1229090","Ag2S","Fm3m","-0.204","0.072","0.036","true","60.976","3","true","","6.748","cubic",""
"mp-560025","Ag2S","P21","-0.192","0.085","0.402","true","127.464","6","true","","6.456","monoclinic",""
"mp-32791","Ag2S","Cmce","-0.187","0.089","0.001","true","117.633","6","true","","6.996","orthorhombic",""
"mp-1183254","Ag3S","P63/mmc","-0.061","0.146","0.000","true","144.455","8","true","","8.177","hexagonal",""
"mp-28963","Ag8S","F43m","0.175","0.267","0.000","true","190.083","9","true","","7.819","cubic",""
