"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-641","As2S3","P21/c","-0.526","0","2.197","true","576.688","20","false","21","2.834","monoclinic",""
"mp-542810","AsS","P21/c","-0.466","0","2.121","true","987.63","32","false","","2.878","monoclinic",""
"mp-1191613","AsS2","P21","-0.511","0","1.292","true","598.736","24","false","","3.085","monoclinic",""
"mp-31070","As8S9","P2/c","-0.482","0.002","1.722","true","1030.847","34","false","","2.861","monoclinic",""
"mp-502","As4S5","P21/m","-0.496","0.003","2.007","true","553.161","18","false","","2.762","monoclinic",""
"mp-1189572","As2S3","P1","-0.523","0.003","2.001","true","564.688","20","false","","2.894","triclinic",""
"mp-27543","As4S3","Pnma","-0.396","0.003","2.304","true","945.673","28","false","","2.781","orthorhombic",""
"mp-542846","AsS","C2/c","-0.462","0.004","2.050","true","492.03","16","false","","2.889","monoclinic",""
"mp-557321","As4S3","Pnma","-0.392","0.007","2.485","true","925.629","28","false","","2.841","orthorhombic",""
"mp-556328","AsS","P21/c","-0.443","0.023","2.111","true","943.651","32","false","","3.012","monoclinic",""
"mp-542604","AsS","P21/c","-0.439","0.026","2.032","true","971.849","32","false","","2.925","monoclinic",""
"mp-1229002","AsS","Pca21","-0.409","0.056","0.610","false","1548.053","64","true","","3.672","orthorhombic",""
"mp-1228819","As2S","I41/amd","-0.158","0.152","0.000","true","122.261","6","true","","4.941","tetragonal",""
"mp-705472","AsS","P1","-0.286","0.179","0.945","true","1614.148","48","true","","2.641","triclinic",""
"mp-1247882","As12S13","P1","-0.244","0.234","0.480","false","1739.344","50","true","","2.513","triclinic",""
"mp-684856","As24S25","P1","-0.235","0.237","0.082","true","1512.072","49","true","","2.855","triclinic",""
"mp-673654","As8S9","P1","-0.225","0.258","0.049","false","1847.975","51","true","","2.394","triclinic",""
"mp-1182330","AsS","Cmc21","-0.193","0.273","0.000","false","308.133","12","true","","3.459","orthorhombic",""
"mp-684626","As12S13","P1","-0.203","0.274","0.490","true","1757.66","50","true","","2.486","triclinic",""
"mp-684081","AsS","P1","-0.183","0.283","0.000","true","1613.183","48","true","","2.643","triclinic",""
"mp-1103186","AsS","Cmc21","-0.127","0.338","0.000","true","259.207","12","false","","4.112","orthorhombic",""
