"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-569304","C","R3m","0","0","2.690","true","62.601","4","false","58","1.274","trigonal",""
"mp-169","C","R3m","0.001","0.001","1.773","true","21.213","2","false","","1.88","trigonal",""
"mp-937760","C","Fmmm","0.004","0.004","0.430","true","21.049","2","true","","1.895","orthorhombic",""
"mp-568286","C","Cmme","0.006","0.006","0.041","true","42.337","4","true","","1.884","orthorhombic",""
"mp-568363","C","Cmme","0.006","0.006","0.061","true","42.992","4","true","","1.856","orthorhombic",""
"mp-48","C","P63/mmc","0.006","0.006","0.000","true","45.803","4","false","","1.742","hexagonal",""
"mp-990448","C","P6/mmm","0.008","0.008","0.000","true","52.763","2","true","","0.756","hexagonal",""
"mp-997182","C","P63/mmc","0.008","0.008","0.000","true","79.114","4","true","","1.008","hexagonal",""
"mp-990424","C","P3m1","0.008","0.008","0.188","true","136.221","4","true","","0.586","trigonal",""
"mp-1040425","C","P6/mmm","0.008","0.008","0.000","true","105.493","2","true","","0.378","hexagonal",""
"mp-606949","C","P63/mmc","0.008","0.008","0.001","true","168.606","12","false","","1.419","hexagonal",""
"mp-568806","C","P6/mmm","0.01","0.01","0.000","true","20.19","2","true","","1.976","hexagonal",""
"mp-632329","C","C2/m","0.012","0.012","0.000","true","19.668","2","true","","2.028","monoclinic",""
"mp-569416","C","R3m","0.029","0.029","1.547","true","100.783","8","false","","1.583","trigonal",""
"mp-1096869","C","Cm","0.116","0.116","0.000","false","1422.205","71","true","","0.996","monoclinic",""
"mp-66","C","Fd3m","0.136","0.136","4.339","true","11.41","2","false","","3.496","cubic",""
"mp-616440","C","P63/mmc","0.141","0.141","4.386","true","91.308","16","true","","3.495","hexagonal",""
"mp-611448","C","P63/mmc","0.143","0.143","4.427","true","68.504","12","true","","3.494","hexagonal",""
"mp-569567","C","R3m","0.144","0.144","4.408","true","80.007","14","true","","3.49","trigonal",""
"mp-569517","C","R3m","0.145","0.145","0.000","true","57.07","10","true","","3.495","trigonal",""
"mp-611426","C","P63/mmc","0.146","0.146","4.524","true","45.686","8","true","","3.492","hexagonal",""
"mp-47","C","P63/mmc","0.162","0.162","3.339","true","22.87","4","false","","3.488","hexagonal",""
"mp-1078845","C","Cmmm","0.266","0.266","3.588","true","46.928","8","true","","3.4","orthorhombic",""
"mp-1190171","C","Pnma","0.291","0.291","4.328","false","95.322","16","true","","3.348","orthorhombic",""
"mp-1080826","C","C2/m","0.299","0.299","3.541","true","47.792","8","true","","3.339","monoclinic",""
"mp-1008395","C","I4/mmm","0.333","0.333","2.608","true","24.113","4","true","","3.309","tetragonal",""
"mp-683919","C","Cmcm","0.349","0.349","1.103","true","1584.152","140","false","","1.763","orthorhombic",""
"mp-1196583","C","Pa3","0.383","0.383","1.352","false","2921.57","240","false","","1.638","cubic",""
"mp-1147718","C","Pnnm","0.387","0.387","0.967","false","1372.92","120","true","","1.743","orthorhombic",""
"mp-667273","C","Fm3","0.389","0.389","1.237","true","689.46","60","false","","1.736","cubic",""
"mp-630227","C","Immm","0.394","0.394","0.910","true","635.042","60","false","","1.884","orthorhombic",""
"mp-680372","C","R3m","0.407","0.407","0.713","true","604.045","60","false","","1.981","trigonal",""
"mp-1008374","C","Cmmm","0.437","0.437","0.000","true","26.538","4","true","","3.006","orthorhombic",""
"mp-568410","C","Cmmm","0.507","0.507","0.123","true","58.162","8","true","","2.743","orthorhombic",""
"mp-568028","C","Pnnm","0.529","0.529","0.304","false","1124.102","120","false","","2.129","orthorhombic",""
"mp-1205283","C","Pnnm","0.697","0.697","0.106","false","1170.354","120","true","","2.045","orthorhombic",""
"mp-1188817","C","Pm3m","0.763","0.763","0.000","false","142.021","20","true","","2.809","cubic",""
"mp-570002","C","Im3m","0.764","0.764","3.208","true","57.998","8","false","","2.751","cubic",""
"mp-24","C","Ia3","0.833","0.833","2.779","true","44.866","8","true","","3.556","cubic",""
"mp-1244964","C","P1","0.934","0.934","0.000","false","1126.925","100","true","","1.77","triclinic",""
"mp-579909","C","Cmmm","0.943","0.943","0.000","true","84.515","8","true","","1.888","orthorhombic",""
"mp-1244913","C","P1","0.994","0.994","0.085","false","1190.353","100","true","","1.675","triclinic",""
"mp-1095633","C","I4/mmm","0.997","0.997","2.704","true","150.223","12","true","","1.593","tetragonal",""
"mp-1182029","C","P2/m","1.001","1.001","0.000","true","14.57","1","true","","1.369","monoclinic",""
"mp-1245190","C","P1","1.013","1.013","0.010","false","1118.18","100","true","","1.784","triclinic",""
