"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-30999","CuCl2","C2/m","-0.904","0","0.000","false","75.615","3","false","11","2.953","monoclinic",""
"mp-22914","CuCl","F43m","-0.676","0.002","0.802","true","39.467","2","false","","4.165","cubic",""
"mp-1184046","CuCl","P63mc","-0.675","0.003","0.574","true","79.766","4","true","","4.122","hexagonal",""
"mp-1225654","CuCl","R3m","-0.673","0.004","0.773","true","39.07","2","true","","4.208","trigonal",""
"mp-23287","CuCl","Pa3","-0.632","0.046","0.451","true","277.643","16","false","","4.737","cubic",""
"mp-1238872","CuCl2","R3m","-0.817","0.087","0.000","true","71.33","3","true","","3.13","trigonal",""
"mp-32829","CuCl4","I42m","-0.443","0.099","0.000","true","123.901","5","true","","2.752","tetragonal",""
"mp-571386","CuCl","Fm3m","-0.5","0.178","0.341","true","33.393","2","false","","4.923","cubic",""
"mp-1147756","CuCl2","I4/mmm","-0.696","0.208","0.000","true","139.514","3","true","","1.6","tetragonal",""
"mp-1147758","CuCl2","P4/mmm","-0.693","0.211","0.000","true","88.238","3","true","","2.53","tetragonal",""
"mp-1183968","Cu3Cl","Pm3m","0.18","0.519","0.166","true","57.041","4","true","","6.582","cubic",""
