"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2534","GaAs","F43m","-0.35","0","0.184","true","47.532","2","false","14","5.053","cubic",""
"mp-8883","GaAs","P63mc","-0.338","0.012","0.192","true","95.045","4","true","","5.054","hexagonal",""
"mp-15619","GaAs","Pa3","-0.206","0.144","0.000","true","350.867","16","true","","5.476","cubic",""
"mp-1184232","Ga3As","Pm3m","0.077","0.252","0.000","true","80.055","4","true","","5.893","cubic",""
"mp-603640","GaAs","Imm2","-0.004","0.346","0.000","true","38.733","2","false","","6.201","orthorhombic",""
"mp-1245314","GaAs","P1","0.057","0.407","0.000","false","2363.025","100","true","","5.082","triclinic",""
"mp-1244899","GaAs","P1","0.058","0.408","0.008","false","2410.386","100","true","","4.982","triclinic",""
"mp-1245074","GaAs","P1","0.06","0.41","0.000","false","2381.375","100","true","","5.043","triclinic",""
"mp-10048","GaAs","P4/mmm","0.071","0.421","0.000","true","40.277","2","true","","5.963","tetragonal",""
"mp-1245274","GaAs","P1","0.075","0.425","0.000","false","2346.231","100","true","","5.119","triclinic",""
"mp-1059094","GaAs","Pmm2","0.092","0.442","0.000","true","39.781","2","false","","6.038","orthorhombic",""
"mp-1244999","GaAs","P1","0.107","0.458","0.000","false","2327.407","100","true","","5.16","triclinic",""
"mp-1183979","GaAs3","Fm3m","0.331","0.506","0.000","true","75.616","4","true","","6.467","cubic",""
"mp-1232355","GaAs","Cm","0.286","0.636","0.000","false","691.114","16","true","","2.78","monoclinic",""
