"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-20012","InSb","F43m","-0.103","0","0.000","true","72.965","2","false","17","5.384","cubic",""
"mp-1007661","InSb","P63mc","-0.096","0.007","0.000","true","146.348","4","false","","5.369","hexagonal",""
"mp-1207221","In2Sb","P63/mmc","0.013","0.082","0.000","true","168.505","6","true","","6.926","hexagonal",""
"mp-1021668","In3Sb","Pm3m","0.04","0.092","0.000","true","113.167","4","true","","6.841","cubic",""
"mp-1223637","InSb","I4m2","0.003","0.106","0.000","true","56.759","2","true","","6.921","tetragonal",""
"mp-684597","InSb","Imm2","0.007","0.109","0.000","true","56.971","2","true","","6.896","orthorhombic",""
"mp-20253","InSb","Cmcm","0.008","0.111","0.000","true","348.088","12","false","","6.772","orthorhombic",""
"mp-1188565","In5Sb3","I4/mcm","0.036","0.113","0.000","true","455.395","16","false","","6.851","tetragonal",""
"mp-10149","InSb","Fm3m","0.025","0.128","0.000","true","58.068","2","false","","6.765","cubic",""
"mp-569020","InSb","Pmmn","0.036","0.138","0.000","true","113.288","4","false","","6.935","orthorhombic",""
"mp-21210","InSb","Cmcm","0.037","0.14","0.000","true","115.666","4","true","","6.793","orthorhombic",""
"mp-1223633","InSb","P4/mmm","0.078","0.18","0.000","true","58.834","2","true","","6.677","tetragonal",""
"mp-19744","InSb","Pmm2","0.083","0.186","0.000","true","58.693","2","false","","6.693","orthorhombic",""
"mp-10148","InSb","Pm3m","0.113","0.216","0.000","true","55.204","2","false","","7.116","cubic",""
"mp-975511","InSb3","Pm3m","0.19","0.241","0.000","true","111.033","4","true","","7.18","cubic",""
"mp-975512","InSb3","Fm3m","0.192","0.243","0.000","true","109.273","4","true","","7.296","cubic",""
"mp-1212332","InSb2","Pmmm","1.453","1.521","0.003","false","4324.913","3","true","","0.138","orthorhombic",""
