"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-3368","LiNb3O8","P21/c","-2.991","0","2.948","true","580.276","48","false","47","4.735","monoclinic",""
"mp-31488","Li3NbO4","I43m","-2.725","0","3.776","true","310.229","32","false","","3.805","cubic",""
"mp-3924","LiNbO2","P63/mmc","-2.694","0","1.579","true","79.224","8","false","","5.527","hexagonal",""
"mp-28030","Li8Nb2O9","P1","-2.649","0","3.242","true","753.593","76","false","","3.396","triclinic",""
"mp-3731","LiNbO3","R3c","-2.909","0","3.377","true","111.267","10","false","","4.413","trigonal",""
"mp-675069","LiNbO3","P1","-2.907","0.001","3.023","true","778.32","70","true","","4.416","triclinic",""
"mp-676694","LiNbO3","P1","-2.906","0.003","2.984","true","669.899","60","true","","4.398","triclinic",""
"mp-674361","LiNbO3","P1","-2.904","0.005","2.939","true","559.927","50","true","","4.385","triclinic",""
"mp-686057","LiNbO3","P1","-2.903","0.005","3.047","true","445.409","40","true","","4.409","triclinic",""
"mp-530514","Li17Nb18O54","P1","-2.889","0.008","0.000","false","1004.628","89","true","","4.387","triclinic",""
"mp-530846","Li15Nb16O48","R3","-2.886","0.01","0.000","false","892.958","79","true","","4.386","trigonal",""
"mp-772535","LiNb13O33","C2/m","-3.019","0.012","1.796","true","692.84","47","true","","4.177","monoclinic",""
"mp-772085","LiNb10O18","P21/c","-2.776","0.018","0.102","false","732.998","58","true","","5.546","monoclinic",""
"mp-1078377","LiNbO3","R3","-2.888","0.021","3.816","false","117.213","10","false","","4.189","trigonal",""
"mp-770649","Li5NbO5","C2/m","-2.549","0.021","2.934","true","111.631","11","true","","3.088","monoclinic",""
"mp-776108","LiNbO3","Pbcm","-2.884","0.025","2.743","true","447.338","40","true","","4.39","orthorhombic",""
"mp-531409","Li7Nb8O24","P1","-2.859","0.025","0.000","false","897.979","78","true","","4.349","triclinic",""
"mp-686160","Li17Nb20O60","P1","-2.852","0.027","0.000","false","1126.06","97","true","","4.33","triclinic",""
"mp-770799","Li5NbO5","C2/c","-2.541","0.029","3.913","true","237.833","22","true","","2.899","monoclinic",""
"mp-686041","Li7Nb8O24","P1","-2.853","0.031","0.000","true","450.144","39","true","","4.337","triclinic",""
"mp-552588","LiNbO3","R3c","-2.876","0.033","2.463","false","111.442","10","false","","4.406","trigonal",""
"mp-772147","LiNb7O12","P21/c","-2.707","0.035","0.000","false","1050.721","80","true","","5.369","monoclinic",""
"mp-531722","Li5Nb6O18","P1","-2.841","0.035","0.000","true","674.286","58","true","","4.335","triclinic",""
"mp-772216","LiNb8O14","Pbam","-2.728","0.035","0.000","true","585.623","46","true","","5.525","orthorhombic",""
"mp-760701","LiNbO3","C2/c","-2.873","0.036","3.424","true","252.984","20","true","","3.882","monoclinic",""
"mp-676591","Li11Nb12O36","P1","-2.856","0.036","0.000","true","675.022","59","true","","4.347","triclinic",""
"mp-772073","Li2Nb4O11","C2/c","-2.926","0.04","2.552","true","430.029","34","true","","4.336","monoclinic",""
"mp-766084","Li7Nb12O24","P1","-2.728","0.04","0.000","true","487.734","43","true","","5.268","triclinic",""
"mp-37399","Li7NbO6","R3","-2.417","0.046","3.511","true","134.243","14","true","","2.938","trigonal",""
"mp-686097","Li7Nb8O24","P1","-2.833","0.051","0.000","false","891.667","78","true","","4.379","triclinic",""
"mp-755559","LiNbO3","C2/m","-2.854","0.055","3.452","true","125.014","10","true","","3.928","monoclinic",""
"mp-686230","Li20Nb19O60","P1","-2.772","0.056","0.000","false","2246.289","198","true","","4.234","triclinic",""
"mp-758673","LiNb2O4","Pnnm","-2.726","0.06","0.000","true","164.721","14","true","","5.177","orthorhombic",""
"mp-756168","Li2Nb4O11","C2/m","-2.901","0.066","2.537","true","240.781","17","true","","3.872","monoclinic",""
"mp-706276","Li3Nb4O12","R3","-2.791","0.067","0.000","true","226.41","19","true","","4.286","trigonal",""
"mp-36086","Li3NbO4","I4/mmm","-2.658","0.067","1.037","true","74.68","8","true","","3.952","tetragonal",""
"mp-774697","Li8NbO6","P1","-2.267","0.068","0.000","true","136.074","15","true","","2.983","triclinic",""
"mp-772215","LiNb8O10","I41/amd","-2.399","0.076","0.000","true","488.369","38","true","","6.19","tetragonal",""
"mp-772212","LiNb5O8","P21/c","-2.595","0.076","0.091","true","777.44","56","true","","5.122","monoclinic",""
"mp-772176","Li3Nb7O19","P63/m","-2.896","0.081","2.075","true","708.601","58","true","","4.57","hexagonal",""
"mp-756137","Li3Nb6O11","P3m1","-2.629","0.089","0.000","true","240.357","20","true","","5.211","trigonal",""
"mp-755298","Li4NbO4","I4/m","-2.418","0.096","0.000","true","99.667","9","true","","3.077","tetragonal",""
"mp-756628","Li4NbO4","Cmcm","-2.414","0.099","0.000","true","195.682","18","true","","3.134","orthorhombic",""
"mp-781626","Li2NbO3","C2/c","-2.615","0.1","0.000","true","115.173","12","true","","4.463","monoclinic",""
"mp-685413","LiNbO3","P1","-2.794","0.115","0.000","false","1485.471","130","true","","4.297","triclinic",""
"mp-1222640","Li2NbO3","P3m1","-2.289","0.425","0.000","false","64.752","6","true","","3.969","trigonal",""
"mp-1025455","LiNb2O","P63/mmc","-0.728","0.686","0.000","false","120.092","8","true","","5.773","hexagonal",""
