"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2815","MoS2","P63/mmc","-1.309","0","1.465","true","131.151","6","false","21","4.053","hexagonal",""
"mp-1434","MoS2","R3m","-1.308","0","1.578","true","62.649","3","false","","4.243","trigonal",""
"mp-1027525","MoS2","P3m1","-1.308","0.001","1.491","true","350.447","12","true","","3.034","trigonal",""
"mp-1025874","MoS2","P6m2","-1.308","0.001","1.509","true","284.872","9","true","","2.799","hexagonal",""
"mp-1023939","MoS2","P3m1","-1.307","0.001","1.554","true","219.296","6","true","","2.424","trigonal",""
"mp-1018809","MoS2","P63/mmc","-1.307","0.001","1.336","true","123.452","6","false","","4.306","hexagonal",""
"mp-1023924","MoS2","P6m2","-1.306","0.002","1.661","true","153.721","3","true","","1.729","hexagonal",""
"mp-2164","Mo3S4","R3","-1.057","0.065","0.000","true","273.589","14","false","","5.051","trigonal",""
"mp-31257","Mo15S19","P63/m","-1.015","0.082","0.000","true","1436.888","68","false","","4.734","hexagonal",""
"mp-1627","Mo2S3","P21/m","-1.082","0.096","0.000","true","168.045","10","false","","5.693","monoclinic",""
"mp-1104577","Mo3S4","P1","-1.011","0.111","0.000","true","229.105","14","false","","6.031","triclinic",""
"mp-673645","Mo7S8","P1","-0.912","0.135","0.000","true","541.741","30","true","","5.69","triclinic",""
"mp-990083","MoS2","Pmmn","-1.142","0.166","0.000","false","1790.583","54","true","","2.672","orthorhombic",""
"mp-1239169","MoS3","P21/m","-0.719","0.263","0.829","true","209.34","8","true","","3.048","monoclinic",""
"mvc-11780","MoS2","F43m","-1.041","0.268","0.000","false","221.129","12","true","","4.808","cubic",""
"mp-1210708","Mo21S8","I4/m","-0.264","0.277","0.000","false","431.006","29","true","","8.75","tetragonal",""
"mp-1238797","MoS2","P3m1","-1.031","0.278","0.000","true","57.564","3","true","","4.618","trigonal",""
"mp-558544","MoS2","R3m","-1.026","0.283","0.000","true","55.736","3","false","","4.769","trigonal",""
"mp-1239203","MoS3","Pm","-0.419","0.562","0.000","true","85.691","4","true","","3.723","monoclinic",""
"mvc-7052","MoS2","I42d","-0.661","0.648","0.000","true","162.514","6","true","","3.271","tetragonal",""
"mp-1211453","MoS6","Cmmm","0.641","1.202","0.216","false","3660.915","7","true","","0.131","orthorhombic",""
