"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-19009","NiO","Fm3m","-1.037","0","2.414","true","37.485","4","false","36","6.618","cubic",""
"mp-656887","Ni3O4","Cmmm","-0.894","0","0.395","true","142.361","14","true","","5.601","orthorhombic",""
"mp-1100319","Ni15O16","R3m","-0.851","0.027","0.000","false","296.738","31","true","","6.359","trigonal",""
"mp-705519","Ni15O16","Im3m","-0.967","0.038","0.000","true","296.618","31","true","","6.362","cubic",""
"mp-754806","Ni5O6","C2/m","-0.904","0.041","0.000","true","110.783","11","true","","5.838","monoclinic",""
"mp-656884","Ni9O10","P1","-0.938","0.047","0.000","true","181.794","19","true","","6.286","triclinic",""
"mp-766450","Ni6O7","P1","-0.913","0.047","0.000","false","250.696","26","true","","6.149","triclinic",""
"mp-33255","Ni15O16","R3m","-0.905","0.1","0.000","false","305.992","31","true","","6.167","trigonal",""
"mp-35925","NiO2","R3m","-0.571","0.124","1.660","true","47.497","3","false","","3.171","trigonal",""
"mp-25210","NiO2","R3m","-0.569","0.126","1.587","true","32.547","3","false","","4.627","trigonal",""
"mp-754800","Ni3O4","C2/m","-0.768","0.13","0.000","true","142.281","14","true","","5.604","monoclinic",""
"mp-510753","NiO2","P3m1","-0.565","0.13","1.389","true","31.329","3","false","","4.807","trigonal",""
"mp-25428","NiO2","Fd3m","-0.559","0.137","1.585","true","125.231","12","true","","4.81","cubic",""
"mvc-6929","NiO2","P63/mmc","-0.017","0.165","1.306","true","77.523","6","true","","3.885","hexagonal",""
"mvc-2316","Ni9O13","C2/m","-0.666","0.188","0.000","true","225.659","22","true","","5.418","monoclinic",""
"mvc-5627","NiO2","P3m1","-0.496","0.199","0.000","false","380.56","36","true","","4.749","trigonal",""
"mvc-12050","NiO2","I4/m","-0.495","0.201","0.754","true","129.496","12","true","","4.652","tetragonal",""
"mvc-12901","NiO2","Pnma","-0.482","0.213","0.630","false","230.246","24","true","","5.233","orthorhombic",""
"mp-1220184","Ni5O11","P1","-0.416","0.236","0.000","false","187.653","16","true","","4.154","triclinic",""
"mvc-10289","NiO2","P3m1","-0.446","0.25","0.000","true","386.384","36","true","","4.677","trigonal",""
"mvc-894","Ni2O3","Cmcm","-0.499","0.336","0.000","true","205.354","20","true","","5.349","orthorhombic",""
"mp-1220234","Ni5O4","I4/m","-0.529","0.393","0.000","true","89.312","9","true","","6.646","tetragonal",""
"mvc-6477","NiO2","Cmcm","-0.256","0.439","0.000","true","120.598","12","true","","4.995","orthorhombic",""
"mp-1220143","Ni2O3","Cc","-0.388","0.448","0.000","true","132.331","10","true","","4.151","monoclinic",""
"mvc-13696","NiO2","R3m","-0.234","0.461","0.000","true","131.407","12","true","","4.584","trigonal",""
"mvc-6822","NiO2","Cm","-0.212","0.483","0.000","false","528.863","48","true","","4.556","monoclinic",""
"mp-1094096","Ni4O3","Pm3m","-0.404","0.485","0.000","true","72.201","7","true","","6.503","cubic",""
"mp-1094139","Ni2O5","C2/c","-0.063","0.533","0.000","false","142.471","14","true","","4.601","monoclinic",""
"mvc-2602","Ni5O7","Cmcm","-0.295","0.575","0.000","true","242.672","24","true","","5.549","orthorhombic",""
"mp-25206","NiO2","Immm","-0.118","0.578","0.037","true","43.56","3","true","","3.457","orthorhombic",""
"mvc-6939","NiO2","Imma","-0.104","0.591","0.000","true","124.173","12","true","","4.851","orthorhombic",""
"mp-634706","NiO2","Immm","0.068","0.764","0.203","true","45.522","3","true","","3.308","orthorhombic",""
"mp-1094094","Ni5O4","P43m","0.021","0.989","0.000","true","94.789","9","true","","6.262","cubic",""
"mp-1209929","NiO3","Cmmm","0.523","1.045","0.000","true","101.72","4","true","","1.742","orthorhombic",""
"mp-1180047","NiO","P6/mmm","0.277","1.314","0.000","true","25.502","2","true","","4.864","hexagonal",""
"mp-1094082","Ni4O","Pm3m","1.317","1.732","0.000","true","57.63","5","true","","7.226","cubic",""
