"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-567542","PbI2","P63mc","-0.668","0","2.413","true","598.648","12","false","16","5.115","hexagonal",""
"mp-567503","PbI2","P63mc","-0.668","0","2.454","true","298.183","6","false","","5.135","hexagonal",""
"mp-22883","PbI2","R3m","-0.668","0.001","2.433","true","149.731","3","false","","5.113","trigonal",""
"mp-567246","PbI2","P3m1","-0.668","0.001","2.418","false","1002.947","21","false","","5.343","trigonal",""
"mp-567199","PbI2","P3m1","-0.668","0.001","2.356","true","710.059","15","false","","5.391","trigonal",""
"mp-22893","PbI2","P3m1","-0.667","0.001","2.370","true","142.894","3","false","","5.357","trigonal",""
"mp-580202","PbI2","P3m1","-0.667","0.001","2.394","false","1417.339","30","false","","5.401","trigonal",""
"mp-567178","PbI2","P3m1","-0.666","0.002","2.447","true","419.702","9","false","","5.472","trigonal",""
"mp-569595","PbI2","R3m","-0.666","0.002","2.429","true","286.71","6","false","","5.34","trigonal",""
"mp-680205","PbI2","P3m1","-0.665","0.003","2.354","true","2060.857","45","false","","5.572","trigonal",""
"mp-540789","PbI2","R3m","-0.665","0.003","2.413","true","280.366","6","false","","5.461","trigonal",""
"mp-574189","PbI2","R3m","-0.665","0.003","2.160","false","562.005","12","true","","5.449","trigonal",""
"mp-640058","PbI2","R3m","-0.664","0.004","2.438","true","423.004","9","true","","5.429","trigonal",""
"mp-1203179","PbI2","P3m1","-0.664","0.005","2.300","false","1634.98","36","false","","5.619","trigonal",""
"mp-672671","PbI2","R3m","-0.661","0.008","2.349","true","416.706","9","true","","5.511","trigonal",""
"mp-1207336","PbI6","Cmmm","0.411","0.697","0.097","false","7062.869","7","true","","0.228","orthorhombic",""
