"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-28740","SrTi11O20","P1","-3.438","0","0.000","false","713.306","64","false","22","4.349","triclinic",""
"mp-540640","Sr2Ti6O13","C2/m","-3.494","0","0.000","true","264.566","21","false","","4.208","monoclinic",""
"mp-5532","Sr2TiO4","I4/mmm","-3.453","0","1.944","true","97.83","7","false","","4.873","tetragonal",""
"mp-3349","Sr3Ti2O7","I4/mmm","-3.502","0","1.876","true","159.283","12","false","","4.906","tetragonal",""
"mp-4651","SrTiO3","I4/mcm","-3.562","0","1.858","true","122.559","10","false","","4.972","tetragonal",""
"mp-551830","SrTiO3","I4/mcm","-3.561","0.001","1.787","true","122.705","10","true","","4.966","tetragonal",""
"mp-5229","SrTiO3","Pm3m","-3.561","0.001","1.827","true","61.402","5","false","","4.962","cubic",""
"mp-31213","Sr4Ti3O10","I4/mmm","-3.518","0.001","1.786","true","220.747","17","false","","4.92","tetragonal",""
"mp-776018","SrTiO3","P63/mmc","-3.522","0.039","1.737","true","381.021","30","true","","4.798","hexagonal",""
"mp-1202462","Sr5Ti8O21","P2/m","-3.509","0.04","1.858","false","2842.408","136","true","","2.704","monoclinic",""
"mp-1198567","Sr25Ti39O103","P2/m","-3.508","0.041","1.948","false","3324.546","167","true","","2.85","monoclinic",""
"mp-1197629","Sr3Ti5O13","P2/m","-3.505","0.042","1.887","false","2137.32","105","true","","2.759","monoclinic",""
"mp-1201432","Sr15Ti23O61","P2/m","-3.504","0.045","1.813","false","3975.604","198","true","","2.833","monoclinic",""
"mp-675134","Sr5Ti5O13","P1","-3.34","0.048","0.000","true","309.153","23","true","","4.756","triclinic",""
"mp-1097778","Sr2Ti2O5","Imm2","-3.278","0.062","0.000","false","248.6","18","true","","4.689","orthorhombic",""
"mp-1094086","Sr2Ti2O5","Pnma","-3.272","0.067","0.000","false","502.937","36","true","","4.635","orthorhombic",""
"mp-1197010","Sr5Ti9O23","P2/m","-3.47","0.076","1.890","false","1432.716","74","true","","2.867","monoclinic",""
"mp-1094047","Sr2Ti2O5","Cmmm","-3.264","0.076","0.000","false","122.413","9","true","","4.761","orthorhombic",""
"mp-1076454","Sr2Ti2O5","Ima2","-3.261","0.079","0.000","false","254.029","18","true","","4.588","orthorhombic",""
"mp-1202132","Sr5Ti7O19","Pmmm","-3.46","0.092","1.835","false","696.176","31","true","","2.569","orthorhombic",""
"mp-572124","SrTi2O5","Cmm2","-3.324","0.219","1.951","true","767.225","32","true","","2.28","orthorhombic",""
"mp-680689","SrTi2O5","Cmm2","-3.298","0.245","1.864","true","756.343","32","true","","2.313","orthorhombic",""
