"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2133","ZnO","P63mc","-1.799","0","0.732","true","49.719","4","false","15","5.438","hexagonal",""
"mp-1986","ZnO","F43m","-1.791","0.007","0.631","true","24.82","2","false","","5.446","cubic",""
"mp-1093993","ZnO","P42/mnm","-1.776","0.023","0.738","true","104.228","8","true","","5.188","tetragonal",""
"mp-8484","ZnO2","Pa3","-1.059","0.14","2.169","true","121.827","12","false","","5.311","cubic",""
"mp-2229","ZnO","Fm3m","-1.651","0.148","1.050","true","20.421","2","false","","6.62","cubic",""
"mp-997630","ZnO","P63/mmc","-1.625","0.174","0.530","true","245.869","24","true","","6.598","hexagonal",""
"mp-1245209","ZnO","P1","-1.551","0.247","0.447","false","1085.013","80","true","","4.984","triclinic",""
"mp-1245109","ZnO","P1","-1.549","0.25","0.403","false","1058.157","80","true","","5.11","triclinic",""
"mp-1245015","ZnO","P1","-1.547","0.251","0.492","false","1118.338","80","true","","4.835","triclinic",""
"mp-1017539","ZnO","P63mc","-1.498","0.3","0.452","true","49.084","4","true","","5.508","hexagonal",""
"mp-1245255","ZnO","P1","-1.401","0.398","0.921","false","1085.362","80","true","","4.982","triclinic",""
"mp-1178720","ZnO2","P21","-0.675","0.524","0.000","false","135.068","12","true","","4.79","monoclinic",""
"mp-1094003","ZnO2","P3m1","-0.633","0.566","0.000","true","34.455","3","false","","4.695","trigonal",""
"mp-13161","ZnO","Pm3m","-1.081","0.718","0.434","true","19.505","2","true","","6.93","cubic",""
"mp-1178680","ZnO2","Immm","-0.336","0.863","0.000","true","255.409","18","true","","3.8","orthorhombic",""
