"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1102743","ZnS2","Pa3","-0.81","0","2.003","true","216.043","12","false","147","3.983","cubic",""
"mp-556716","ZnS","P3m1","-1.144","0","1.213","true","566.73","28","false","","3.998","trigonal",""
"mp-556161","ZnS","P3m1","-1.143","0","1.441","true","566.547","28","false","","4","trigonal",""
"mp-10695","ZnS","F43m","-1.143","0","2.350","true","40.476","2","false","","3.999","cubic",""
"mp-680085","ZnS","P3m1","-1.143","0","2.017","true","1780.658","88","false","","4","trigonal",""
"mp-680087","ZnS","P3m1","-1.143","0.001","2.021","true","1781.108","88","false","","3.999","trigonal",""
"mp-555079","ZnS","P3m1","-1.143","0.001","2.020","true","1133.274","56","false","","3.999","trigonal",""
"mp-554820","ZnS","P3m1","-1.143","0.001","2.021","true","1133.126","56","false","","4","trigonal",""
"mp-556543","ZnS","P3m1","-1.143","0.001","1.962","false","890.408","44","false","","3.999","trigonal",""
"mp-555664","ZnS","P3m1","-1.143","0.001","2.021","true","971.853","48","false","","3.997","trigonal",""
"mp-556784","ZnS","P3m1","-1.143","0.001","1.995","false","890.448","44","false","","3.999","trigonal",""
"mp-554115","ZnS","P3m1","-1.143","0.001","2.018","true","971.912","48","false","","3.997","trigonal",""
"mp-581425","ZnS","P3m1","-1.143","0.001","2.019","true","1456.577","72","false","","4","trigonal",""
"mp-561286","ZnS","P63mc","-1.143","0.001","2.014","true","809.963","40","false","","3.997","hexagonal",""
"mp-556448","ZnS","P3m1","-1.143","0.001","2.000","false","729.126","36","false","","3.996","trigonal",""
"mp-560725","ZnS","P63mc","-1.143","0.001","2.020","true","648.147","32","false","","3.996","hexagonal",""
"mp-555779","ZnS","P3m1","-1.143","0.001","2.005","true","648.23","32","false","","3.995","trigonal",""
"mp-557308","ZnS","P3m1","-1.143","0.001","1.907","true","405.165","20","false","","3.995","trigonal",""
"mp-581405","ZnS","P3m1","-1.143","0.001","1.889","false","1619.013","80","false","","3.999","trigonal",""
"mp-554503","ZnS","P3m1","-1.143","0.001","2.020","true","1133.408","56","false","","3.999","trigonal",""
"mp-555151","ZnS","P3m1","-1.143","0.001","2.024","true","1133.417","56","false","","3.999","trigonal",""
"mp-554961","ZnS","P3m1","-1.143","0.001","1.965","false","1133.402","56","false","","3.999","trigonal",""
"mp-554681","ZnS","P3m1","-1.143","0.001","2.018","true","1133.328","56","false","","3.999","trigonal",""
"mp-554608","ZnS","P3m1","-1.143","0.001","1.934","false","1050.939","52","false","","4.004","trigonal",""
"mp-561196","ZnS","P63mc","-1.143","0.001","2.027","true","566.491","28","false","","4","hexagonal",""
"mp-555543","ZnS","P3m1","-1.143","0.001","1.992","true","971.869","48","false","","3.997","trigonal",""
"mp-582680","ZnS","P3m1","-1.143","0.001","1.985","false","1456.11","72","false","","4.002","trigonal",""
"mp-555381","ZnS","P3m1","-1.143","0.001","1.932","false","971.534","48","false","","3.998","trigonal",""
"mp-554829","ZnS","P3m1","-1.143","0.001","2.007","false","971.909","48","false","","3.997","trigonal",""
"mp-553916","ZnS","P3m1","-1.143","0.001","2.026","true","971.806","48","false","","3.997","trigonal",""
"mp-556395","ZnS","P3m1","-1.143","0.001","1.956","true","324.105","16","false","","3.995","trigonal",""
"mp-555594","ZnS","P3m1","-1.143","0.001","2.001","true","970.405","48","false","","4.003","trigonal",""
"mp-647075","ZnS","P3m1","-1.143","0.001","2.000","false","2593.358","128","false","","3.994","trigonal",""
"mp-555666","ZnS","P3m1","-1.143","0.001","1.858","false","1293.941","64","false","","4.003","trigonal",""
