"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-984","BN","P63/mmc","-1.473","0","4.494","true","42.133","4","false","28","1.956","hexagonal",""
"mp-7991","BN","P63/mmc","-1.473","0","4.270","true","45.167","4","false","","1.825","hexagonal",""
"mp-13150","BN","R3m","-1.471","0.002","4.485","true","20.002","2","true","","2.06","trigonal",""
"mp-629015","BN","P63/mmc","-1.469","0.004","4.002","true","39.789","4","true","","2.071","hexagonal",""
"mp-604884","BN","P6m2","-1.469","0.004","4.422","true","38.729","4","true","","2.128","hexagonal",""
"mp-685145","BN","Fmm2","-1.466","0.007","3.956","true","19.12","2","false","","2.155","orthorhombic",""
"mp-1639","BN","F43m","-1.396","0.077","4.648","true","11.919","2","false","","3.458","cubic",""
"mp-2653","BN","P63mc","-1.378","0.095","5.363","true","23.876","4","false","","3.452","hexagonal",""
"mp-534","B13N2","R3m","-0.257","0.136","0.000","true","108.039","15","false","","2.591","trigonal",""
"mp-1599","BN","Cm","-1.335","0.138","1.601","true","72.417","8","true","","2.276","monoclinic",""
"mp-13151","BN","P42/mnm","-1.294","0.179","4.826","true","49.92","8","true","","3.302","tetragonal",""
"mp-344","BN","Cc","-1.253","0.219","3.502","true","64.83","8","true","","2.543","monoclinic",""
"mp-644751","BN","Pnma","-1.201","0.272","5.670","true","54.28","8","true","","3.037","orthorhombic",""
"mp-1077506","BN","Imm2","-1.171","0.302","1.084","true","39.625","6","true","","3.12","orthorhombic",""
"mp-569655","BN","P21/c","-1.152","0.321","3.824","true","88.884","8","true","","1.855","monoclinic",""
"mp-1245301","BN","P1","-0.85","0.623","0.745","false","1247.968","100","true","","1.651","triclinic",""
"mp-1244872","BN","P1","-0.829","0.643","1.526","false","1308.415","100","true","","1.575","triclinic",""
"mp-1244943","BN","P1","-0.814","0.658","1.155","false","1206.341","100","true","","1.708","triclinic",""
"mp-1245231","BN","P1","-0.812","0.661","1.564","false","1263.805","100","true","","1.63","triclinic",""
"mp-1245228","BN","P1","-0.805","0.668","1.649","false","1218.665","100","true","","1.691","triclinic",""
"mp-1244991","BN","P1","-0.728","0.745","1.486","false","1182.455","100","true","","1.743","triclinic",""
"mp-1060281","BN","I4/mmm","-0.667","0.806","4.014","true","29.94","2","false","","1.376","tetragonal",""
"mp-1245193","BN","P1","-0.655","0.818","0.282","false","1135.468","100","true","","1.815","triclinic",""
"mp-1245297","BN","P1","-0.646","0.827","0.997","false","1126.072","100","true","","1.83","triclinic",""
"mp-1245281","BN","P1","-0.634","0.839","0.003","false","1246.233","100","true","","1.653","triclinic",""
"mp-1244917","BN","P1","-0.554","0.918","1.192","false","1297.557","100","true","","1.588","triclinic",""
"mp-1079812","B9N","I4/mmm","2.245","2.54","0.000","true","866.8","10","false","","0.213","tetragonal",""
"mp-601223","BN","P63/mmc","1.089","2.562","0.000","true","23.745","4","false","","3.471","hexagonal",""
