"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-30303","Bi4O7","P1","-1.58","0","0.901","true","353.395","22","false","63","8.908","triclinic",""
"mp-23262","Bi2O3","P21/c","-1.652","0","2.249","true","341.596","20","false","","9.06","monoclinic",""
"mp-557993","BiO2","C2/c","-1.471","0","1.083","true","178.919","12","false","","8.946","monoclinic",""
"mp-1190124","Bi2O3","Pbcn","-1.634","0.018","1.745","false","394.099","20","true","","7.853","orthorhombic",""
"mp-1196483","Bi2O3","Pa3","-1.632","0.02","2.515","false","1486.857","80","true","","8.326","cubic",""
"mvc-6615","BiO2","Imma","-1.45","0.021","0.000","true","190.911","12","true","","8.384","orthorhombic",""
"mp-23195","Bi2O3","P421c","-1.63","0.022","1.669","true","373.428","20","false","","8.288","tetragonal",""
"mp-1197128","Bi2O3","P21/c","-1.629","0.023","2.452","false","699.958","40","false","","8.843","monoclinic",""
"mp-556549","Bi2O3","Pccn","-1.629","0.024","2.277","true","385.342","20","false","","8.032","orthorhombic",""
"mp-755137","BiO2","C2/c","-1.447","0.025","0.000","true","109.248","6","true","","7.326","monoclinic",""
"mp-1183524","Bi2O3","R3c","-1.623","0.029","2.123","true","166.549","10","true","","9.291","trigonal",""
"mp-32597","Bi13O20","I23","-1.607","0.033","0.347","true","571.413","33","true","","8.825","cubic",""
"mp-759526","Bi2O3","R3","-1.619","0.034","1.726","true","1129.288","65","true","","8.907","trigonal",""
"mp-684747","Bi2O3","P1","-1.615","0.037","1.686","true","2829.968","160","true","","8.749","triclinic",""
"mp-766354","Bi25O38","P1","-1.604","0.042","0.442","false","1131.715","63","true","","8.558","triclinic",""
"mp-1105780","Bi2O3","P31c","-1.606","0.047","1.487","true","327.807","20","false","","9.441","trigonal",""
"mp-757852","Bi16O25","I42m","-1.584","0.049","0.000","true","696.409","41","true","","8.927","tetragonal",""
"mp-773884","Bi19O30","P3","-1.578","0.05","0.000","true","1690.657","98","true","","8.743","trigonal",""
"mp-1204405","Bi2O3","Ia3","-1.6","0.052","1.941","false","703.346","40","true","","8.801","cubic",""
"mp-753707","Bi3O5","C2/c","-1.543","0.059","0.000","false","270.853","16","true","","8.668","monoclinic",""
"mp-1188316","Bi2O3","P63mc","-1.592","0.06","1.503","true","314.609","20","false","","9.838","hexagonal",""
"mp-1017552","Bi2O3","P3m1","-1.581","0.071","1.419","true","78.478","5","false","","9.859","trigonal",""
"mp-1188267","Bi2O3","Fd3m","-1.581","0.072","2.595","false","380.319","20","true","","8.138","cubic",""
"mvc-9645","BiO2","R3m","-1.398","0.073","0.000","true","174.096","12","true","","9.194","trigonal",""
"mvc-5760","BiO2","Pmc21","-1.392","0.079","0.186","false","439.6","24","true","","7.282","orthorhombic",""
"mvc-5860","BiO2","P1","-1.385","0.086","0.025","false","784.912","48","true","","8.157","triclinic",""
"mvc-15392","BiO2","I4/m","-1.381","0.09","0.000","false","244.831","12","true","","6.538","tetragonal",""
"mp-1091371","Bi2O3","R3m","-1.561","0.091","2.442","true","198.403","10","true","","7.8","trigonal",""
"mp-37036","Bi2O3","Pm","-1.561","0.092","1.713","true","91.944","5","true","","8.415","monoclinic",""
"mp-32548","BiO2","Fm3m","-1.369","0.102","0.000","true","41.853","3","false","","9.561","cubic",""
"mp-684654","Bi2O3","P1","-1.545","0.107","1.186","false","92.724","5","true","","8.345","triclinic",""
"mp-673244","Bi2O3","Cm","-1.541","0.111","0.988","true","91.802","5","true","","8.428","monoclinic",""
"mp-684617","Bi2O3","P1","-1.535","0.117","0.969","true","271.812","15","true","","8.54","triclinic",""
"mp-1022722","Bi3O2","I4/mmm","-0.976","0.125","0.000","true","111.293","5","true","","9.832","tetragonal",""
"mvc-9064","Bi3O7","Pnma","-1.183","0.141","0.000","true","662.739","40","true","","7.406","orthorhombic",""
"mvc-8471","Bi2O5","Cmcm","-1.117","0.144","0.000","false","241.311","14","true","","6.853","orthorhombic",""
"mp-1080122","Bi2O3","P42/mcm","-1.507","0.145","0.000","true","173.601","10","true","","8.914","tetragonal",""
"mp-684589","Bi4O5","Cc","-1.38","0.15","0.643","true","343.212","18","true","","8.863","monoclinic",""
"mvc-9818","BiO2","Cm","-1.314","0.157","0.411","true","668.569","36","true","","7.182","monoclinic",""
"mp-1227527","Bi4O7","P4b2","-1.421","0.159","0.000","false","346.666","22","true","","9.081","tetragonal",""
"mp-1227568","Bi4O5","Cc","-1.37","0.16","0.357","false","344.041","18","true","","8.841","monoclinic",""
"mvc-7514","Bi2O5","Pbca","-1.097","0.164","0.000","true","823.764","56","true","","8.03","orthorhombic",""
"mp-1017551","Bi2O3","P4m2","-1.484","0.169","0.258","true","89.481","5","true","","8.647","tetragonal",""
"mvc-5220","BiO2","P1","-1.297","0.174","0.342","false","719.817","36","true","","6.671","triclinic",""
"mvc-6081","BiO2","Cmcm","-1.296","0.175","0.000","true","224.006","12","true","","7.145","orthorhombic",""
"mp-1239395","BiO2","P21/m","-1.294","0.177","0.621","true","539.072","24","true","","5.938","monoclinic",""
"mvc-392","Bi2O3","Cmcm","-1.473","0.179","0.846","true","404.893","20","true","","7.644","orthorhombic",""
"mvc-4364","BiO2","Imma","-1.285","0.186","0.916","false","242.64","12","true","","6.597","orthorhombic",""
"mvc-8880","Bi2O5","P21/c","-1.059","0.202","0.000","true","461.887","28","true","","7.161","monoclinic",""
"mvc-10374","Bi4O9","P4/n","-1.14","0.218","0.000","true","451.517","26","true","","7.208","tetragonal",""
"mvc-6945","BiO2","P63/mmc","-1.245","0.226","0.000","true","122.657","6","true","","6.525","hexagonal",""
"mvc-4554","Bi2O5","P2/c","-1.034","0.227","0.000","false","247.128","14","true","","6.692","monoclinic",""
"mvc-4274","BiO2","Fd3m","-1.226","0.245","0.000","false","244.864","12","true","","6.537","cubic",""
"mp-636934","Bi2O3","I23","-1.377","0.275","1.329","true","635.75","30","false","","7.302","cubic",""
"mvc-13490","Bi2O5","Pbam","-0.935","0.326","0.000","false","260.417","14","true","","6.35","orthorhombic",""
"mp-637599","Bi2O3","P4b2","-1.294","0.358","0.000","true","350.445","20","false","","8.832","tetragonal",""
"mp-22891","Bi2O3","Pn3m","-1.291","0.362","0.000","true","174.577","10","false","","8.864","cubic",""
"mp-25333","BiO2","Ibam","-1.059","0.412","0.000","false","185.322","12","true","","8.637","orthorhombic",""
"mp-25208","BiO2","Ibam","-1.054","0.417","0.000","true","214.527","12","true","","7.461","orthorhombic",""
"mp-27945","BiO","R3m","-0.892","0.485","0.000","true","43.26","2","false","","8.636","trigonal",""
"mvc-15971","BiO2","P63/mmc","-0.906","0.565","0.000","true","95.169","6","true","","8.409","hexagonal",""
"mp-558953","Bi2O3","P21/c","-1.044","0.608","0.000","true","355.977","20","false","","8.694","monoclinic",""
"mp-674644","Bi2O3","P1","-1.014","0.638","0.615","true","382.878","20","true","","8.083","triclinic",""
