"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-913","CdP2","P43212","-0.127","0","1.593","true","575.785","24","false","10","4.023","tetragonal",""
"mp-12112","CdP2","P41212","-0.127","0","1.591","true","575.747","24","false","","4.023","tetragonal",""
"mp-402","CdP2","Pna21","-0.126","0.001","1.529","true","288.119","12","false","","4.02","orthorhombic",""
"mp-7904","CdP4","P21/c","-0.065","0.011","0.526","true","211.194","10","false","","3.716","monoclinic",""
"mp-2441","Cd3P2","P42/nmc","-0.055","0.021","0.000","true","984.241","40","false","","5.388","tetragonal",""
"mp-29576","Cd7P10","Fdd2","-0.078","0.034","1.075","false","762.945","34","false","","4.774","orthorhombic",""
"mp-1197202","Cd3P2","Ia3","-0.04","0.036","0.000","false","980.594","40","false","","5.408","cubic",""
"mp-21185","Cd3P2","Pn3m","0.135","0.212","0.000","true","246.04","10","false","","5.388","cubic",""
"mp-1183632","Cd3P","Pm3m","0.217","0.265","0.000","true","84.824","4","true","","7.208","cubic",""
"mp-1213851","Cd2P","Pn3m","0.244","0.307","0.000","true","198.285","6","true","","4.284","cubic",""
