"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-406","CdTe","F43m","-0.464","0","1.228","true","72.827","2","false","10","5.473","cubic",""
"mp-12779","CdTe","P63mc","-0.461","0.003","0.619","true","145.823","4","false","","5.466","hexagonal",""
"mp-685146","CdTe","Cmc21","-0.458","0.006","0.622","true","145.521","4","true","","5.478","orthorhombic",""
"mp-1492","CdTe","P3121","-0.354","0.11","0.022","true","194.482","6","false","","6.148","trigonal",""
"mp-2388","CdTe","Fm3m","-0.293","0.17","0.000","true","57.675","2","false","","6.91","cubic",""
"mp-1066480","CdTe","Cmcm","-0.283","0.181","0.000","true","115.55","4","false","","6.898","orthorhombic",""
"mp-1008471","CdTe","Cmcm","-0.283","0.181","0.000","true","120.87","4","false","","6.595","orthorhombic",""
"mp-1183651","Cd3Te","I4/mmm","0.068","0.3","0.000","true","104.727","4","true","","7.37","tetragonal",""
"mp-1226722","CdTe","I4m2","-0.103","0.361","0.000","true","56.977","2","true","","6.995","tetragonal",""
"mp-12581","CdTe","P4/mmm","0.02","0.483","0.000","true","61.015","2","true","","6.532","tetragonal",""
