"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-771359","Cu2O3","Ia3","-0.842","0","0.000","true","407.416","40","true","35","5.709","cubic",""
"mp-1692","CuO","P42/mmc","-0.95","0","0.000","true","44.168","4","false","","5.981","tetragonal",""
"mp-361","Cu2O","Pn3m","-0.65","0","0.513","true","78.833","6","false","","6.028","cubic",""
"mp-704645","CuO","C2/c","-0.95","0","0.000","true","44.486","4","false","","5.938","monoclinic",""
"mp-1064456","CuO","Cccm","-0.949","0.001","0.000","true","44.214","4","false","","5.975","orthorhombic",""
"mp-760432","Cu2O3","Fdd2","-0.837","0.005","0.143","true","104.613","10","true","","5.558","orthorhombic",""
"mp-1478","Cu4O3","I41/amd","-0.811","0.011","0.000","true","171.767","14","false","","5.843","tetragonal",""
"mp-1178476","Cu3O4","Ibam","-0.841","0.032","0.000","false","159.107","14","true","","5.315","orthorhombic",""
"mp-1213626","Cu64O","Amm2","0.002","0.032","0.000","false","766.969","65","true","","8.84","orthorhombic",""
"mp-755040","Cu2O3","P21/c","-0.796","0.046","0.000","true","269.573","20","true","","4.314","monoclinic",""
"mp-760084","Cu8O7","Cm","-0.837","0.053","0.000","true","172.543","15","true","","5.97","monoclinic",""
"mp-1147673","Cu3O4","Fm3m","-0.807","0.066","0.000","false","183.415","14","true","","4.611","cubic",""
"mp-32905","Cu8O7","C2","-0.823","0.067","0.000","false","172.982","15","true","","5.955","monoclinic",""
"mp-1023130","Cu4O3","P4/nmm","-0.713","0.109","0.000","true","153.84","14","true","","6.523","tetragonal",""
"mp-31217","Cu8O","Cmmm","-0.099","0.118","0.000","true","106.08","9","false","","8.208","orthorhombic",""
"mp-510752","CuO","Pnma","-0.798","0.153","0.140","false","225.499","16","true","","4.686","orthorhombic",""
"mp-1022728","Cu3O2","I4/mmm","-0.61","0.16","0.000","true","60.136","5","true","","6.148","tetragonal",""
"mp-25378","CuO2","R3m","-0.54","0.162","0.000","true","34.255","3","true","","4.632","trigonal",""
"mp-14549","CuO","Fm3m","-0.779","0.172","0.000","true","18.964","2","false","","6.965","cubic",""
"mp-504100","CuO2","Fd3m","-0.529","0.172","0.000","true","140.249","12","true","","4.525","cubic",""
"mvc-1956","Cu9O13","C2/m","-0.676","0.176","0.000","true","232.131","22","true","","5.579","monoclinic",""
"mp-510751","CuO","P42/nmc","-0.771","0.18","0.014","true","418.059","32","true","","5.055","tetragonal",""
"mp-704745","Cu8O","Amm2","-0.031","0.185","0.000","true","107.976","9","false","","8.064","orthorhombic",""
"mvc-2262","Cu5O7","Cmcm","-0.673","0.187","0.000","true","256.321","24","true","","5.568","orthorhombic",""
"mvc-396","Cu2O3","Cmcm","-0.65","0.192","0.000","true","214.794","20","true","","5.414","orthorhombic",""
"mp-1181499","CuO2","Cmcm","-0.508","0.194","0.000","true","63.942","6","false","","4.962","orthorhombic",""
"mp-1147761","Cu8O7","Fm3m","-0.678","0.212","0.000","false","147.893","15","true","","6.965","cubic",""
"mp-601195","CuO2","Cmcm","-0.429","0.273","0.053","true","206.264","6","false","","1.538","orthorhombic",""
"mp-1147768","CuO","P4/mmm","-0.673","0.278","0.000","true","67.308","6","true","","5.887","tetragonal",""
"mp-614565","CuO2","Fmmm","-0.419","0.283","0.000","true","57.298","3","false","","2.769","orthorhombic",""
"mp-600604","CuO2","Fmmm","-0.416","0.286","0.018","true","83.763","3","false","","1.894","orthorhombic",""
"mp-1120722","CuO","Pm3m","-0.615","0.335","0.000","true","61.22","6","true","","6.473","cubic",""
"mp-755928","Cu2O3","P21/c","-0.45","0.392","0.000","true","218.653","20","true","","5.319","monoclinic",""
"mp-25229","CuO","I4/mmm","-0.361","0.589","0.000","true","141.582","8","true","","3.732","tetragonal",""
"mp-705439","CuO2","Pmmm","0.713","1.414","0.000","true","110.299","3","false","","1.438","orthorhombic",""
