"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-555599","CuS","Cmcm","-0.525","0","0.000","true","205.171","12","false","28","4.643","orthorhombic",""
"mp-849086","CuS2","Pnnm","-0.54","0","0.000","true","100.435","6","false","","4.222","orthorhombic",""
"mp-624299","Cu7S4","Pnma","-0.391","0","0.000","true","671.227","44","false","","5.671","orthorhombic",""
"mp-504","CuS","P63/mmc","-0.524","0.001","0.000","true","205.226","12","false","","4.642","hexagonal",""
"mp-1068","CuS2","Pa3","-0.536","0.004","0.000","true","195.06","12","false","","4.348","cubic",""
"mp-581212","Cu2S","P21/c","-0.346","0.013","0.348","false","2160.596","144","false","","5.871","monoclinic",""
"mp-760381","CuS","F43m","-0.513","0.013","0.000","true","35.096","2","true","","4.524","cubic",""
"mp-1147712","CuS2","Pbca","-0.5","0.04","0.000","false","221.567","12","true","","3.827","orthorhombic",""
"mp-1225835","Cu2S","C2/c","-0.315","0.044","0.035","true","100.4","6","true","","5.265","monoclinic",""
"mp-618991","Cu2S","P43212","-0.311","0.048","0.502","true","179.219","12","false","","5.899","tetragonal",""
"mp-684710","Cu9S5","P1","-0.335","0.05","0.000","true","415.32","28","true","","5.855","triclinic",""
"mp-1225993","Cu2S","C2/m","-0.297","0.062","1.216","true","151.938","6","true","","3.479","monoclinic",""
"mp-542333","Cu9S5","R3m","-0.312","0.072","0.000","true","208.873","14","false","","5.821","trigonal",""
"mp-684898","Cu18S11","P1","-0.329","0.078","0.000","true","450.967","29","true","","5.511","triclinic",""
"mp-12087","Cu2S","Fm3m","-0.263","0.096","0.034","true","42.807","3","false","","6.174","cubic",""
"mp-684604","CuS2","C2","-0.44","0.1","0.000","true","59.956","3","true","","3.536","monoclinic",""
"mp-685108","Cu9S5","P1","-0.281","0.103","0.000","true","199.136","14","true","","6.106","triclinic",""
"mp-674831","Cu2S","P1","-0.248","0.111","0.000","true","299.185","18","true","","5.3","triclinic",""
"mp-1023128","CuS","Fm3m","-0.401","0.125","0.000","true","29.05","2","true","","5.465","cubic",""
"mvc-13442","Cu2S","I42d","-0.231","0.128","0.000","true","84.766","6","true","","6.236","tetragonal",""
"mp-685126","Cu39S20","C2","-0.207","0.158","0.000","true","856.618","59","true","","6.047","monoclinic",""
"mp-675278","Cu11S16","Cm","-0.296","0.237","0.000","true","488.981","27","true","","4.116","monoclinic",""
"mp-553942","Cu2S","P63/mmc","-0.12","0.238","0.000","true","83.882","6","false","","6.301","hexagonal",""
"mp-684964","Cu11S20","R3m","-0.261","0.277","0.000","false","653.167","31","true","","3.407","trigonal",""
"mp-558139","CuS","P63/mmc","-0.239","0.286","0.000","true","59.818","4","false","","5.308","hexagonal",""
"mp-1096941","CuS","P3m1","-0.232","0.293","0.000","true","60.48","2","true","","2.625","trigonal",""
"mp-850099","CuS2","P4m2","-0.003","0.537","0.000","true","52.543","3","true","","4.035","tetragonal",""
"mp-685056","Cu9S16","R3m","0.04","0.577","0.000","false","525.639","25","true","","3.427","trigonal",""
