"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1192884","Fe23C6","Fm3m","0.052","0.052","0.000","false","284.925","29","true","16","7.906","cubic",""
"mp-510623","Fe3C","Pnma","0.055","0.055","0.000","true","152.239","16","false","","7.834","orthorhombic",""
"mp-13154","Fe3C","P6322","0.055","0.055","0.000","true","81.308","8","false","","7.334","hexagonal",""
"mp-2794","Fe5C2","C2/c","0.058","0.058","0.000","true","129.332","14","false","","7.787","monoclinic",""
"mp-645339","Fe5C2","P2/c","0.06","0.06","0.000","true","259.573","28","false","","7.76","monoclinic",""
"mp-18257","Fe7C3","P63mc","0.151","0.151","0.000","true","181.363","20","false","","7.818","hexagonal",""
"mp-21717","Fe7C3","Pnma","0.178","0.178","0.000","false","364.342","40","false","","7.783","orthorhombic",""
"mp-1871","Fe2C","Pnnm","0.226","0.226","0.000","true","56.982","6","false","","7.21","orthorhombic",""
"mp-1078579","Fe4C","P21/m","0.242","0.242","0.000","true","99.249","10","true","","7.877","monoclinic",""
"mp-1205444","Fe3C","C2/m","0.243","0.243","0.000","false","152.38","16","true","","7.826","monoclinic",""
"mp-1070333","Fe4C","I4/m","0.278","0.278","0.000","true","45.817","5","true","","8.531","tetragonal",""
"mp-1205436","Fe3C","I42m","0.293","0.293","0.000","false","149.265","16","true","","7.99","tetragonal",""
"mp-613523","Fe3C","Pnma","0.306","0.306","0.000","true","165.514","16","false","","7.205","orthorhombic",""
"mp-1246","Fe4C","P43m","0.514","0.514","0.000","true","56.692","5","false","","6.895","cubic",""
"mp-568503","Fe2C","P6/mmm","1.202","1.202","0.000","true","31.307","3","true","","6.561","hexagonal",""
"mp-1188724","Fe3C","Pnma","4.325","4.325","0.159","false","3476.515","16","false","","0.343","orthorhombic",""
