"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-505531","FeS","P4/nmm","-0.839","0","0.000","true","70.515","4","false","33","4.14","tetragonal",""
"mp-1522","FeS2","Pnnm","-0.955","0","0.978","true","81.421","6","false","","4.894","orthorhombic",""
"mp-226","FeS2","Pa3","-0.948","0.008","0.457","true","157.798","12","false","","5.05","cubic",""
"mp-850083","Fe4S5","P4","-0.817","0.061","0.000","false","627.492","18","true","","2.031","tetragonal",""
"mp-850249","Fe4S5","P2","-0.816","0.062","0.000","false","629.611","18","true","","2.024","monoclinic",""
"mp-952567","Fe2S3","R3c","-0.772","0.137","0.000","false","140.782","10","true","","4.904","trigonal",""
"mp-556435","Fe7S8","P3121","-0.725","0.137","0.000","false","584.058","45","false","","5.522","trigonal",""
"mp-542794","Fe7S8","C2/c","-0.724","0.138","0.000","true","389.817","30","false","","5.516","monoclinic",""
"mp-850016","Fe3S4","R3m","-0.745","0.144","0.000","true","215.612","14","true","","4.556","trigonal",""
"mp-21688","Fe7S8","P31","-0.696","0.166","0.000","false","603.183","45","false","","5.347","trigonal",""
"mp-22652","FeS","P21/c","-0.673","0.166","0.041","true","292.325","24","false","","5.992","monoclinic",""
"mp-850411","Fe7S8","P21","-0.686","0.176","0.000","false","396.019","30","true","","5.429","monoclinic",""
"mp-850032","Fe3S4","C2/m","-0.712","0.176","0.000","true","206.95","14","false","","4.747","monoclinic",""
"mp-685128","Fe7S8","P21/c","-0.685","0.177","0.000","true","391.749","30","true","","5.489","monoclinic",""
"mp-1225858","Fe11S12","Cc","-0.667","0.187","0.000","false","595.322","46","true","","5.573","monoclinic",""
"mp-21515","Fe3S4","Fd3m","-0.692","0.197","0.000","true","213.198","14","false","","4.608","cubic",""
"mvc-11234","FeS2","R3m","-0.751","0.205","0.000","true","64.059","3","true","","3.11","trigonal",""
"mp-7096","Fe3S4","R3m","-0.669","0.219","0.000","true","107.59","7","false","","4.565","trigonal",""
"mp-21410","FeS","Pnma","-0.609","0.229","0.000","true","95.769","8","false","","6.097","orthorhombic",""
"mp-684707","Fe7S12","Pc","-0.692","0.238","0.139","false","1102.444","76","true","","4.674","monoclinic",""
"mvc-11411","FeS2","Fd3m","-0.703","0.252","0.000","false","200.9","12","true","","3.967","cubic",""
"mp-616476","FeS","P63mc","-0.559","0.28","0.000","true","210.663","16","false","","5.544","hexagonal",""
"mvc-13558","FeS2","R3m","-0.661","0.295","0.000","false","202.444","12","true","","3.936","trigonal",""
"mp-849057","FeS","P3m1","-0.535","0.303","0.000","true","51.379","4","true","","5.682","trigonal",""
"mvc-11070","FeS2","I42d","-0.591","0.365","0.000","true","132.388","6","true","","3.01","tetragonal",""
"mp-2779","FeS","P62c","-0.449","0.389","0.000","true","343.85","24","false","","5.094","hexagonal",""
"mp-1184373","Fe3S","P63/mmc","-0.002","0.395","0.000","true","98.38","8","true","","6.738","hexagonal",""
"mp-10188","Fe3S4","R3m","-0.459","0.429","0.000","true","103.537","7","false","","4.744","trigonal",""
"mp-2099","FeS","P63/mmc","-0.378","0.461","0.000","false","57.558","4","false","","5.072","hexagonal",""
"mp-684641","Fe2S","Cm","-0.086","0.473","0.000","true","261.172","21","true","","6.398","monoclinic",""
"mp-850009","FeS2","P2/c","-0.452","0.503","0.000","false","209.472","12","true","","3.804","monoclinic",""
"mp-615366","FeS2","Pcca","-0.451","0.504","0.000","true","213.754","12","true","","3.728","orthorhombic",""
"mp-851357","Fe2S","Cm","-0.05","0.509","0.000","true","260.104","21","true","","6.424","monoclinic",""
