"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-804","GaN","P63mc","-0.668","0","1.738","true","46.943","4","false","42","5.924","hexagonal",""
"mp-830","GaN","F43m","-0.663","0.005","1.905","true","23.48","2","true","","5.921","cubic",""
"mp-1007824","GaN","P63/mmc","-0.315","0.354","1.371","true","75.361","4","false","","3.69","hexagonal",""
"mp-2853","GaN","Fm3m","-0.189","0.479","0.509","true","19.47","2","false","","7.141","cubic",""
"mp-1244975","GaN","P1","-0.051","0.618","0.087","false","1503.841","100","true","","4.623","triclinic",""
"mp-1244995","GaN","P1","-0.037","0.631","0.156","false","1481.647","100","true","","4.692","triclinic",""
"mp-1245233","GaN","P1","-0.019","0.649","0.000","false","1645.267","100","true","","4.225","triclinic",""
"mp-1244916","GaN","P1","-0.019","0.649","0.034","false","1567.783","100","true","","4.434","triclinic",""
"mp-1244866","GaN","P1","-0.01","0.658","0.000","false","1543.844","100","true","","4.503","triclinic",""
"mp-1245148","GaN","P1","0.009","0.677","0.000","false","1471.255","100","true","","4.725","triclinic",""
"mp-1245132","GaN","P1","0.01","0.678","0.000","false","1506.923","100","true","","4.613","triclinic",""
"mp-1245069","GaN","P1","0.012","0.68","0.075","false","1677.612","100","true","","4.144","triclinic",""
"mp-1245095","GaN","P1","0.014","0.682","0.000","false","1661.66","100","true","","4.184","triclinic",""
"mp-1245288","GaN","P1","0.014","0.683","0.000","false","1517.612","100","true","","4.581","triclinic",""
"mp-1245286","GaN","P1","0.016","0.685","0.000","false","1500.199","100","true","","4.634","triclinic",""
"mp-1245188","GaN","P1","0.017","0.686","0.000","false","1549.981","100","true","","4.485","triclinic",""
"mp-1244934","GaN","P1","0.018","0.686","0.000","false","1584.397","100","true","","4.388","triclinic",""
"mp-1245130","GaN","P1","0.018","0.686","0.097","false","1650.481","100","true","","4.212","triclinic",""
"mp-1244884","GaN","P1","0.024","0.692","0.161","false","1563.667","100","true","","4.446","triclinic",""
"mp-1245172","GaN","P1","0.024","0.692","0.026","false","1435.561","100","true","","4.843","triclinic",""
"mp-1245002","GaN","P1","0.03","0.698","0.000","false","1528.262","100","true","","4.549","triclinic",""
"mp-1244927","GaN","P1","0.034","0.702","0.132","false","1473.989","100","true","","4.716","triclinic",""
"mp-1245033","GaN","P1","0.034","0.702","0.002","false","1538.164","100","true","","4.52","triclinic",""
"mp-1245244","GaN","P1","0.034","0.703","0.020","false","1569.014","100","true","","4.431","triclinic",""
"mp-1245181","GaN","P1","0.035","0.703","0.000","false","1489.982","100","true","","4.666","triclinic",""
"mp-1245326","GaN","P1","0.036","0.704","0.000","false","1486.104","100","true","","4.678","triclinic",""
"mp-1245046","GaN","P1","0.036","0.704","0.036","false","1584.159","100","true","","4.388","triclinic",""
"mp-1244886","GaN","P1","0.037","0.705","0.049","false","1531.441","100","true","","4.539","triclinic",""
"mp-1245138","GaN","P1","0.037","0.706","0.010","false","1541.112","100","true","","4.511","triclinic",""
"mp-1245030","GaN","P1","0.038","0.707","0.059","false","1399.09","100","true","","4.969","triclinic",""
"mp-1245295","GaN","P1","0.039","0.708","0.000","false","1499.132","100","true","","4.637","triclinic",""
"mp-1245258","GaN","P1","0.044","0.712","0.000","false","1496.264","100","true","","4.646","triclinic",""
"mp-1244903","GaN","P1","0.047","0.715","0.069","false","2268.848","100","true","","3.064","triclinic",""
"mp-1245013","GaN","P1","0.049","0.718","0.087","false","1550.933","100","true","","4.482","triclinic",""
"mp-1245165","GaN","P1","0.051","0.719","0.000","false","1474.188","100","true","","4.716","triclinic",""
"mp-1245106","GaN","P1","0.056","0.725","0.000","false","2460.457","100","true","","2.825","triclinic",""
"mp-1245302","GaN","P1","0.059","0.728","0.083","false","1625.961","100","true","","4.276","triclinic",""
"mp-1245150","GaN","P1","0.064","0.732","0.000","false","1621.076","100","true","","4.288","triclinic",""
"mp-1245075","GaN","P1","0.066","0.734","0.000","false","1435.93","100","true","","4.841","triclinic",""
"mp-1244984","GaN","P1","0.073","0.742","0.000","false","2252.332","100","true","","3.086","triclinic",""
"mp-1244896","GaN","P1","0.076","0.744","0.033","false","2300.818","100","true","","3.021","triclinic",""
"mp-1244998","GaN","P1","0.1","0.768","0.000","false","1565.089","100","true","","4.442","triclinic",""
