"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1156","GaSb","F43m","-0.157","0","0.365","true","60.133","2","false","11","5.288","cubic",""
"mp-1018059","GaSb","P63mc","-0.144","0.013","0.000","true","119.954","4","true","","5.301","hexagonal",""
"mp-1184258","Ga3Sb","I4/mmm","0.068","0.147","0.000","true","88.743","4","true","","6.192","tetragonal",""
"mp-1224785","GaSb","I4m2","0.029","0.185","0.000","true","48.239","2","true","","6.591","tetragonal",""
"mp-684664","GaSb","Immm","0.038","0.194","0.000","true","48.168","2","true","","6.601","orthorhombic",""
"mp-1244895","GaSb","P1","0.128","0.285","0.000","false","2722.169","100","true","","5.84","triclinic",""
"mp-1245146","GaSb","P1","0.128","0.285","0.000","false","2806.836","100","true","","5.664","triclinic",""
"mp-1245088","GaSb","P1","0.13","0.287","0.000","false","2744.476","100","true","","5.793","triclinic",""
"mp-1184224","GaSb3","Fm3m","0.219","0.297","0.000","true","103.84","4","true","","6.956","cubic",""
"mp-1245217","GaSb","P1","0.156","0.313","0.000","false","2733.106","100","true","","5.817","triclinic",""
"mp-1244877","GaSb","P1","0.177","0.334","0.000","false","2840.67","100","true","","5.597","triclinic",""
