"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-32","Ge","Fd3m","0","0","0.000","true","47.847","2","false","17","5.042","cubic",""
"mp-1091415","Ge","P63/mmc","0.008","0.008","0.000","true","191.052","8","false","","5.051","hexagonal",""
"mp-1198022","Ge","Fd3m","0.026","0.026","0.670","false","922.639","34","false","","4.445","cubic",""
"mp-1007760","Ge","P63/mmc","0.121","0.121","0.086","true","94.944","4","false","","5.082","hexagonal",""
"mp-1080106","Ge","Ia3","0.14","0.14","0.000","true","175.024","8","false","","5.513","cubic",""
"mp-128","Ge","R3","0.142","0.142","0.000","true","173.077","8","false","","5.575","trigonal",""
"mp-78","Ge","I41/amd","0.227","0.227","0.000","true","38.587","2","false","","6.252","tetragonal",""
"mp-1061054","Ge","Imma","0.236","0.236","0.000","true","38.029","2","false","","6.344","orthorhombic",""
"mp-137","Ge","P43212","0.238","0.238","0.873","true","258.089","12","false","","5.608","tetragonal",""
"mp-1224349","Ge","Cmmm","0.246","0.246","0.000","true","19.607","1","true","","6.152","orthorhombic",""
"mp-1079020","Ge","Cmce","0.308","0.308","0.000","true","156.852","8","false","","6.152","orthorhombic",""
"mp-1197020","Ge","Fd3m","0.321","0.321","0.000","false","952.742","34","false","","4.305","cubic",""
"mp-1008733","Ge","P63/mmc","0.326","0.326","0.000","true","38.767","2","false","","6.223","hexagonal",""
"mp-12093","Ge","Fm3m","0.329","0.329","0.000","true","19.653","1","false","","6.138","cubic",""
"mp-148","Ge","Fmmm","0.34","0.34","0.000","true","77.665","4","false","","6.212","orthorhombic",""
"mp-998883","Ge","Im3m","0.34","0.34","0.000","true","19.514","1","true","","6.181","cubic",""
"mp-1067619","Ge","P63mc","0.471","0.471","0.791","true","156.192","4","false","","3.089","hexagonal",""
