"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1184554","Hg","P63/mmc","0","0","0.307","true","63.646","2","true","20","10.467","hexagonal",""
"mp-1184766","Hg","P4132","0.001","0.001","0.764","false","638.26","20","true","","10.437","cubic",""
"mp-1017981","Hg","Im3m","0.001","0.001","0.000","true","30.373","1","true","","10.967","cubic",""
"mp-975272","Hg","Cmcm","0.001","0.001","0.093","false","62.909","2","true","","10.59","orthorhombic",""
"mp-569360","Hg","C2/m","0.001","0.001","0.228","true","94.207","3","false","","10.607","monoclinic",""
"mp-864900","Hg","I43m","0.001","0.001","0.703","false","896.824","29","true","","10.771","cubic",""
"mp-10861","Hg","P6/mmm","0.003","0.003","0.000","true","88.094","3","false","","11.343","hexagonal",""
"mp-1184657","Hg","Pm3n","0.005","0.005","0.567","false","250.56","8","true","","10.635","cubic",""
"mp-1184709","Hg","P63/mmc","0.007","0.007","0.303","true","128.303","4","true","","10.384","hexagonal",""
"mp-569289","Hg","I4/mmm","0.008","0.008","0.000","false","30.881","1","false","","10.786","tetragonal",""
"mp-753304","Hg","Fm3m","0.012","0.012","0.632","true","32.597","1","false","","10.218","cubic",""
"mp-1184687","Hg","Fmmm","0.019","0.019","0.000","true","65.961","2","true","","10.099","orthorhombic",""
"mp-1077098","Hg","P21/c","0.02","0.02","1.474","true","225.611","6","false","","8.858","monoclinic",""
"mp-982872","Hg","R3m","0.02","0.02","0.000","false","31.516","1","true","","10.569","trigonal",""
"mp-1184591","Hg","I41/amd","0.025","0.025","0.000","true","63.053","2","true","","10.565","tetragonal",""
"mp-1184569","Hg","R3m","0.025","0.025","0.000","false","32.299","1","true","","10.313","trigonal",""
"mp-121","Hg","R3m","0.027","0.027","0.000","false","28.334","1","false","","11.756","trigonal",""
"mp-1096992","Hg","I42d","0.028","0.028","0.000","true","139.333","4","false","","9.562","tetragonal",""
"mp-1224431","Hg","Ama2","0.041","0.041","0.799","false","1604.177","34","true","","7.06","orthorhombic",""
"mp-611219","Hg","R3m","0.084","0.084","1.761","false","84.255","1","false","","3.953","trigonal",""
