"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1025039","PbS2","I4/mcm","-0.73","0","0.807","true","145.66","6","true","22","6.186","tetragonal",""
"mp-21276","PbS","Fm3m","-0.865","0","0.993","true","54.174","2","false","","7.334","cubic",""
"mp-1057015","PbS","R3m","-0.863","0.001","1.037","true","54.365","2","true","","7.308","trigonal",""
"mp-1091375","PbS","Pnma","-0.847","0.018","0.744","true","222.317","8","true","","7.149","orthorhombic",""
"mp-1078500","PbS","Pnma","-0.832","0.033","1.900","true","220.561","8","false","","7.205","orthorhombic",""
"mp-1018115","PbS","Cmcm","-0.826","0.039","1.272","true","110.742","4","false","","7.175","orthorhombic",""
"mp-1012435","PbS","P63mc","-0.808","0.056","0.784","true","113.951","4","true","","6.973","hexagonal",""
"mp-1067933","PbS","C2/m","-0.807","0.058","2.262","true","202.872","4","false","","3.917","monoclinic",""
"mp-557719","PbS","Cmce","-0.807","0.058","2.079","true","591.993","8","true","","2.685","orthorhombic",""
"mp-20526","PbS","Aem2","-0.806","0.058","2.258","true","205.829","4","false","","3.861","orthorhombic",""
"mp-561320","PbS","C2","-0.806","0.058","2.053","true","404.273","4","false","","1.966","monoclinic",""
"mp-1067627","PbS","C2/m","-0.806","0.059","2.088","true","299.722","4","false","","2.651","monoclinic",""
"mp-1018019","PbS","P63/mmc","-0.803","0.062","0.032","true","110.514","4","true","","7.19","hexagonal",""
"mp-1087486","PbS","P21/m","-0.783","0.082","1.241","true","252.732","8","true","","6.288","monoclinic",""
"mp-1078696","PbS","P21/m","-0.782","0.083","0.762","true","244.866","8","true","","6.49","monoclinic",""
"mp-1009551","PbS","P6m2","-0.741","0.124","0.000","true","54.871","2","true","","7.241","hexagonal",""
"mp-1079543","PbS","Amm2","-0.701","0.164","0.742","true","258.137","8","true","","6.157","orthorhombic",""
"mp-1078944","PbS","Pma2","-0.695","0.169","1.558","true","270.209","8","true","","5.882","orthorhombic",""
"mp-1079101","PbS","Amm2","-0.67","0.195","1.233","true","252.29","8","true","","6.299","orthorhombic",""
"mp-21039","PbS","Pm3m","-0.606","0.259","0.000","true","48.774","2","false","","8.146","cubic",""
"mp-1186425","Pb3S","Pm3m","-0.104","0.328","0.000","true","113.395","4","true","","9.572","cubic",""
"mp-1206683","PbS2","P3m1","-0.396","0.334","0.446","true","79.331","3","true","","5.679","trigonal",""
