"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-96","S","P2/c","0","0","2.740","false","1152.998","32","false","28","1.478","monoclinic",""
"mp-557869","S","P21","0.001","0.001","2.707","true","1614.148","48","false","","1.583","monoclinic",""
"mp-77","S","Fddd","0.001","0.001","2.712","false","1159.351","32","false","","1.47","orthorhombic",""
"mp-1196831","S","P2","0.011","0.011","2.319","false","2580.287","80","false","","1.651","monoclinic",""
"mp-994911","S","P4mm","0.011","0.011","3.327","true","5860.826","8","true","","0.073","tetragonal",""
"mp-558014","S","Pnnm","0.014","0.014","2.478","true","857.057","24","false","","1.491","orthorhombic",""
"mp-558964","S","Pbcn","0.014","0.014","2.540","true","2682.404","80","false","","1.588","orthorhombic",""
"mp-557488","S","P21/c","0.017","0.017","2.446","true","1185.608","36","false","","1.617","monoclinic",""
"mp-561513","S","P1","0.019","0.019","2.427","true","941.211","28","false","","1.584","triclinic",""
"mp-555915","S","P212121","0.021","0.021","2.540","true","2350.74","72","false","","1.631","orthorhombic",""
"mp-561370","S","Pca21","0.028","0.028","2.363","true","2982.646","88","false","","1.571","orthorhombic",""
"mp-583072","S","P21/c","0.028","0.028","2.435","true","3454.354","104","false","","1.603","monoclinic",""
"mp-557376","S","C2/c","0.032","0.032","2.192","true","641.746","20","false","","1.659","monoclinic",""
"mp-556269","S","P21/c","0.037","0.037","2.338","true","2365.229","72","false","","1.621","monoclinic",""
"mp-83","S","P21/c","0.038","0.038","2.562","true","1853.557","56","false","","1.609","monoclinic",""
"mp-557559","S","P21/c","0.041","0.041","2.516","true","893.257","28","false","","1.669","monoclinic",""
"mp-555760","S","P3221","0.041","0.041","2.316","true","271.701","9","false","","1.764","trigonal",""
"mp-557031","S","C2/c","0.044","0.044","2.075","true","1019.735","32","false","","1.671","monoclinic",""
"mp-7","S","R3","0.065","0.065","2.488","true","189.199","6","false","","1.689","trigonal",""
"mp-1065250","S","P21/c","0.348","0.348","0.682","true","134.768","4","true","","1.58","monoclinic",""
"mp-1179643","S","P21/c","0.348","0.348","0.000","true","157.415","4","true","","1.353","monoclinic",""
"mp-1064933","S","P42/mnm","0.35","0.35","0.000","true","102.347","4","false","","2.081","tetragonal",""
"mp-655141","S","P3","0.357","0.357","0.837","true","894.492","18","false","","1.071","trigonal",""
"mp-608100","S","P3","0.44","0.44","0.309","true","1105.415","18","false","","0.867","trigonal",""
"mp-1094073","S","P21/c","0.571","0.571","0.000","true","104.208","4","false","","2.044","monoclinic",""
"mp-10869","S","Pm3m","0.626","0.626","0.000","true","17.093","1","false","","3.115","cubic",""
"mp-1063988","S","Im3m","1.137","1.137","0.000","true","15.796","1","false","","3.371","cubic",""
"mp-684673","S","Fm3m","1.301","1.301","0.000","true","15.852","1","false","","3.359","cubic",""
