"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-570481","Se","P21/c","0","0","1.655","true","2440.5","64","false","10","3.438","monoclinic",""
"mp-542605","Se","P21/c","0.006","0.006","1.403","true","1179.997","32","false","","3.556","monoclinic",""
"mp-542461","Se","P21/c","0.006","0.006","1.582","true","1198.034","32","false","","3.502","monoclinic",""
"mp-14","Se","P3121","0.007","0.007","1.012","true","89.329","3","false","","4.403","trigonal",""
"mp-147","Se","R3","0.029","0.029","1.576","true","195.456","6","false","","4.025","trigonal",""
"mp-1009757","Se","Cmcm","0.18","0.18","0.000","true","57.605","2","true","","4.552","orthorhombic",""
"mp-7755","Se","Pm3m","0.181","0.181","0.000","true","22.656","1","false","","5.787","cubic",""
"mp-1247808","Se","P21212","0.187","0.187","0.000","false","104.607","4","true","","5.014","orthorhombic",""
"mp-12771","Se","Fd3m","0.514","0.514","0.000","true","63.793","2","false","","4.111","cubic",""
"mp-119","Se","Im3m","0.602","0.602","0.000","true","20.492","1","false","","6.399","cubic",""
