"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-149","Si","Fd3m","0","0","0.853","true","40.888","2","false","39","2.281","cubic",""
"mp-165","Si","P63/mmc","0.011","0.011","0.514","true","81.735","4","false","","2.282","hexagonal",""
"mp-1203790","Si","P63/mmc","0.056","0.056","1.363","false","1601.147","68","true","","1.981","hexagonal",""
"mp-971662","Si","Pm3n","0.062","0.062","1.317","true","1069.771","46","true","","2.005","cubic",""
"mp-1079297","Si","C2/m","0.072","0.072","0.288","true","169.804","8","true","","2.197","monoclinic",""
"mp-1196961","Si","P6/mmm","0.079","0.079","1.128","false","939.986","40","true","","1.985","hexagonal",""
"mp-971661","Si","I43m","0.08","0.08","1.340","true","515.38","23","true","","2.081","cubic",""
"mp-1095269","Si","Cmcm","0.094","0.094","0.621","true","263.713","12","false","","2.122","orthorhombic",""
"mp-1204627","Si","Cmcm","0.095","0.095","1.302","false","1086.528","46","true","","1.974","orthorhombic",""
"mp-999200","Si","I4/mmm","0.101","0.101","0.452","true","86.428","4","true","","2.158","tetragonal",""
"mp-1200830","Si","I43m","0.109","0.109","1.377","false","974.328","41","true","","1.963","cubic",""
"mp-1201492","Si","Pa3","0.119","0.119","1.011","false","5494.177","232","true","","1.969","cubic",""
"mp-1199894","Si","C2/c","0.127","0.127","0.998","false","1915.457","82","true","","1.997","monoclinic",""
"mp-1202745","Si","P3m1","0.142","0.142","0.788","false","1400.906","58","true","","1.931","trigonal",""
"mp-168","Si","Ia3","0.158","0.158","0.000","true","147.415","8","false","","2.531","cubic",""
"mp-571520","Si","R3","0.159","0.159","0.000","true","146.068","8","false","","2.554","trigonal",""
"mp-1204046","Si","P42/nmc","0.177","0.177","0.151","false","2509.456","106","true","","1.97","tetragonal",""
"mp-1072544","Si","Im3m","0.22","0.22","0.191","true","152.548","6","true","","1.834","cubic",""
"mp-92","Si","I41/amd","0.292","0.292","0.000","true","30.667","2","false","","3.042","tetragonal",""
"mp-109","Si","Fmmm","0.295","0.295","0.000","true","61.257","4","false","","3.045","orthorhombic",""
"mp-34","Si","P6/mmm","0.303","0.303","0.000","true","15.058","1","false","","3.097","hexagonal",""
"mp-1245041","Si","P1","0.308","0.308","0.028","false","1918.192","100","true","","2.431","triclinic",""
"mp-1244971","Si","P1","0.315","0.315","0.003","false","1921.074","100","true","","2.428","triclinic",""
"mp-1245242","Si","P1","0.315","0.315","0.000","false","1915.221","100","true","","2.435","triclinic",""
"mp-16220","Si","Fd3m","0.338","0.338","0.702","true","800.479","34","false","","1.981","cubic",""
"mp-1244933","Si","P1","0.347","0.347","0.000","false","1793.765","100","true","","2.6","triclinic",""
"mp-1268191","Si","P6/m","0.348","0.348","0.000","false","101.229","6","true","","2.764","hexagonal",""
"mp-1244990","Si","P1","0.364","0.364","0.000","false","1750.973","100","true","","2.663","triclinic",""
"mp-1120447","Si","P1","0.371","0.371","0.000","true","168.439","8","true","","2.215","triclinic",""
"mp-644693","Si","P1","0.412","0.412","0.000","false","174.108","8","true","","2.143","triclinic",""
"mp-1079649","Si","Cmce","0.426","0.426","0.000","true","116.893","8","false","","3.192","orthorhombic",""
"mp-676011","Si","P1","0.445","0.445","0.000","true","159.131","8","true","","2.345","triclinic",""
"mp-1120747","Si","P63/mmc","0.452","0.452","0.000","true","99.244","6","true","","2.82","hexagonal",""
"mp-1056579","Si","I4/mmm","0.484","0.484","0.000","true","14.48","1","false","","3.221","tetragonal",""
"mp-1001113","Si","Cmcm","0.488","0.488","0.000","true","61.423","4","true","","3.037","orthorhombic",""
"mp-10649","Si","P63/mmc","0.511","0.511","0.000","true","28.743","2","false","","3.245","hexagonal",""
"mp-1094057","Si","R3m","0.516","0.516","0.000","true","42.938","3","true","","3.258","trigonal",""
"mp-1014212","Si","Im3m","0.524","0.524","0.000","true","14.776","1","true","","3.156","cubic",""
"mp-27","Si","Fm3m","0.53","0.53","0.000","true","14.484","1","false","","3.22","cubic",""
