"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-568656","SiC","P3m1","-0.206","0","2.041","true","209.909","20","false","31","3.172","trigonal",""
"mp-567551","SiC","P63mc","-0.205","0","2.064","true","335.651","32","false","","3.174","hexagonal",""
"mp-7631","SiC","P63mc","-0.205","0","2.112","true","125.957","12","false","","3.172","hexagonal",""
"mp-11714","SiC","P63mc","-0.205","0","2.330","true","83.963","8","true","","3.172","hexagonal",""
"mp-570985","SiC","P3m1","-0.205","0","1.905","true","566.754","54","false","","3.172","trigonal",""
"mp-571286","SiC","P3m1","-0.205","0","1.818","true","755.646","72","false","","3.172","trigonal",""
"mp-570791","SiC","P3m1","-0.205","0","2.067","true","398.864","38","false","","3.172","trigonal",""
"mp-582034","SiC","P3m1","-0.205","0","1.712","false","440.78","42","false","","3.172","trigonal",""
"mp-567505","SiC","P63mc","-0.205","0","1.887","true","168.046","16","false","","3.17","hexagonal",""
"mp-571298","SiC","P3m1","-0.205","0","1.646","true","818.422","78","false","","3.173","trigonal",""
"mp-1200692","SiC","R3m","-0.205","0.001","1.991","false","356.751","34","false","","3.173","trigonal",""
"mp-1204356","SiC","R3m","-0.205","0.001","1.860","false","398.887","38","false","","3.171","trigonal",""
"mp-1197730","SiC","R3m","-0.205","0.001","2.017","false","356.215","34","false","","3.178","trigonal",""
"mp-568735","SiC","P3m1","-0.205","0.001","2.091","true","377.672","36","false","","3.173","trigonal",""
"mp-568696","SiC","P3m1","-0.205","0.001","1.921","true","293.827","28","false","","3.172","trigonal",""
"mp-8062","SiC","F43m","-0.204","0.001","1.594","true","21.001","2","false","","3.17","cubic",""
"mp-568619","SiC","P3m1","-0.204","0.001","1.873","true","105.004","10","false","","3.17","trigonal",""
"mp-11713","SiC","R3m","-0.203","0.003","1.973","true","104.962","10","false","","3.172","trigonal",""
"mp-624397","SiC","R3m","-0.203","0.003","2.054","true","230.894","22","false","","3.172","trigonal",""
"mp-7140","SiC","P63mc","-0.202","0.004","2.303","true","42.006","4","false","","3.17","hexagonal",""
"mp-570690","SiC","R3m","-0.197","0.008","1.961","true","189.067","18","false","","3.169","trigonal",""
"mp-9947","SiC","R3m","-0.197","0.009","2.142","true","146.961","14","false","","3.171","trigonal",""
"mp-570641","SiC","R3m","-0.196","0.009","2.020","true","168.067","16","false","","3.169","trigonal",""
"mp-570804","SiC","R3m","-0.174","0.032","1.843","false","273.175","26","true","","3.169","trigonal",""
"mp-1200168","SiC","R3m","-0.174","0.032","1.979","false","608.575","58","false","","3.173","trigonal",""
"mp-1200848","SiC","R3m","-0.174","0.032","1.954","false","525.079","50","false","","3.17","trigonal",""
"mp-1019097","SiC2","P42/mmc","0.425","0.562","0.000","true","69.828","6","true","","2.478","tetragonal",""
"mp-1002206","SiC","Fm3m","0.537","0.743","0.000","true","16.61","2","true","","4.009","cubic",""
"mp-1219306","Si5C3","R3","0.718","0.873","0.898","true","170.473","8","true","","1.719","trigonal",""
"mp-1102811","SiC2","Pa3","0.849","0.986","0.000","true","109.641","12","true","","3.157","cubic",""
"mp-972848","SiC3","I4/mmm","2.185","2.288","0.000","true","46.224","4","true","","2.303","tetragonal",""
