"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2231","SnS","Pnma","-0.778","0","1.111","true","204.376","8","false","16","4.9","orthorhombic",""
"mp-1170","SnS2","P3m1","-0.823","0","1.562","true","82.726","3","false","","3.67","trigonal",""
"mp-9984","SnS2","P63mc","-0.822","0.001","1.491","true","158.089","6","false","","3.841","hexagonal",""
"mp-1509","Sn2S3","Pnma","-0.801","0.004","0.857","true","508.633","20","false","","4.357","orthorhombic",""
"mp-1095397","SnS2","Fd3m","-0.812","0.011","1.344","true","291.307","12","false","","4.169","cubic",""
"mp-559676","SnS","Cmcm","-0.763","0.015","0.797","true","98.951","4","false","","5.06","orthorhombic",""
"mp-1876","SnS","Fm3m","-0.739","0.039","0.955","true","50.101","2","false","","4.997","cubic",""
"mp-8781","SnS","Aem2","-0.732","0.046","1.532","true","194.71","4","false","","2.572","orthorhombic",""
"mp-554134","SnS","Aem2","-0.73","0.048","1.628","true","390.414","4","false","","1.283","orthorhombic",""
"mp-1064497","SnS","P1","-0.727","0.051","1.494","true","184.42","4","false","","2.715","triclinic",""
"mp-1379","SnS","Cmcm","-0.716","0.062","1.201","true","133.429","4","false","","3.753","orthorhombic",""
"mp-1002063","SnS2","I42d","-0.758","0.065","1.879","true","179.069","6","true","","3.391","tetragonal",""
"mp-1202007","Sn3S7","C2/c","-0.486","0.254","0.000","false","2384.741","40","false","","1.617","monoclinic",""
"mp-1203031","Sn3S7","Cc","-0.485","0.256","0.000","false","2332.819","40","false","","1.653","monoclinic",""
"mp-10013","SnS","F43m","-0.5","0.278","0.237","true","69.62","2","false","","3.596","cubic",""
"mp-1187038","Sn3S","Fm3m","-0.074","0.315","0.000","true","98.374","4","true","","6.553","cubic",""
