"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2591","Ti3O","P31c","-1.574","0","0.000","true","219.032","16","false","116","4.84","trigonal",""
"mp-1215","Ti2O","P3m1","-2.041","0","0.000","true","37.012","3","false","","5.013","trigonal",""
"mp-1071163","TiO","P62m","-2.916","0","0.000","true","62.861","6","false","","5.061","hexagonal",""
"mp-554278","TiO2","C2/m","-3.512","0","2.694","true","146.706","12","false","","3.616","monoclinic",""
"mp-1147","Ti3O5","C2/m","-3.39","0","0.000","true","177.345","16","false","","4.187","monoclinic",""
"mp-554098","Ti6O","P31c","-0.919","0","0.000","true","215.105","14","false","","4.681","trigonal",""
"mp-458","Ti2O3","R3c","-3.313","0","0.000","true","105.524","10","false","","4.524","trigonal",""
"mp-557812","Ti3O","P312","-1.569","0.005","0.000","true","328.904","24","false","","4.835","trigonal",""
"mp-390","TiO2","I41/amd","-3.506","0.006","2.063","true","70.479","6","false","","3.763","tetragonal",""
"mp-12205","Ti4O7","P1","-3.416","0.007","0.000","true","237.726","22","false","","4.239","triclinic",""
"mp-559964","Ti6O11","C2/m","-3.447","0.008","0.000","true","398.528","34","false","","3.86","monoclinic",""
"mp-34688","TiO2","C2/c","-3.504","0.008","1.976","true","70.264","6","true","","3.775","monoclinic",""
"mp-556480","Ti3O5","C2/m","-3.381","0.009","0.000","true","187.728","16","false","","3.956","monoclinic",""
"mp-752989","Ti8O13","R3","-3.361","0.01","0.155","true","246.903","21","true","","3.974","trigonal",""
"mp-760075","Ti19O30","P1","-3.34","0.01","0.000","true","526.918","49","true","","4.379","triclinic",""
"mp-656852","Ti13O22","Cmce","-3.39","0.01","0.000","true","830.183","70","true","","3.897","orthorhombic",""
"mp-748","Ti5O9","P1","-3.431","0.011","0.000","true","302.386","28","false","","4.21","triclinic",""
"mp-882","Ti6O","P31m","-0.908","0.012","0.000","true","107.545","7","false","","4.682","trigonal",""
"mp-759920","Ti5O8","P1","-3.348","0.012","0.000","false","419.907","39","true","","4.358","triclinic",""
"mp-30524","Ti6O11","P1","-3.442","0.012","0.000","false","367.239","34","false","","4.189","triclinic",""
"mp-556754","Ti3O5","C2/c","-3.377","0.013","0.000","true","173.605","16","false","","4.277","monoclinic",""
"mp-556724","Ti7O13","P1","-3.45","0.013","0.000","false","432.159","40","false","","4.173","triclinic",""
"mp-8057","Ti3O5","Cmcm","-3.376","0.014","0.000","true","189.174","16","false","","3.925","orthorhombic",""
"mp-565700","Ti8O15","P1","-3.454","0.015","0.000","false","497.133","46","false","","4.161","triclinic",""
"mp-27273","Ti9O17","P1","-3.459","0.016","0.000","true","562.072","52","false","","4.153","triclinic",""
"mp-760747","Ti11O18","P1","-3.359","0.018","0.000","true","314.1","29","true","","4.306","triclinic",""
"mp-1840","TiO2","Pbca","-3.492","0.02","2.288","true","264.837","24","false","","4.006","orthorhombic",""
"mp-1188323","Ti2O3","Pnma","-3.288","0.024","0.119","true","184.674","20","false","","5.17","orthorhombic",""
"mp-1217157","Ti3O4","I4/mmm","-3.173","0.027","0.000","true","70.799","7","true","","4.869","tetragonal",""
"mp-753593","Ti10O13","C2/m","-3.146","0.028","0.000","true","235.155","23","true","","4.849","monoclinic",""
"mp-1439","TiO2","Pbcn","-3.48","0.032","2.553","true","126.297","12","false","","4.2","orthorhombic",""
"mp-978968","Ti3O2","R3c","-2.359","0.032","0.000","true","113.366","10","true","","5.144","trigonal",""
"mp-754672","TiO2","Pnma","-3.48","0.032","2.989","true","179.459","12","true","","2.956","orthorhombic",""
"mp-10734","Ti4O5","I4/m","-3.1","0.037","0.000","true","92.264","9","false","","4.886","tetragonal",""
"mp-2657","TiO2","P42/mnm","-3.475","0.037","1.772","true","64.292","6","false","","4.126","tetragonal",""
"mp-1097860","TiO2","Imma","-3.475","0.037","1.779","true","128.523","12","true","","4.128","orthorhombic",""
"mp-775938","TiO2","Pbcn","-3.473","0.039","2.084","true","384.078","36","true","","4.144","orthorhombic",""
"mp-1203","TiO","C2/m","-2.873","0.043","0.000","true","108.795","10","false","","4.874","monoclinic",""
"mp-759754","Ti11O14","P1","-3.107","0.047","0.000","true","254.722","25","true","","4.893","triclinic",""
"mp-777129","TiO2","P1","-3.465","0.047","3.308","true","1066.234","54","true","","2.239","triclinic",""
"mp-1101463","Ti11O14","C2/m","-3.106","0.048","0.000","false","255.607","25","true","","4.876","monoclinic",""
"mp-553432","TiO2","P3121","-3.463","0.049","3.421","true","167.365","9","true","","2.377","trigonal",""
"mp-1217152","Ti2O","P2/m","-1.991","0.05","0.000","true","113.484","9","true","","4.905","monoclinic",""
"mp-754769","TiO2","Pnma","-3.459","0.053","2.294","true","267.814","24","true","","3.962","orthorhombic",""
"mp-755875","Ti3O4","Cmmm","-3.142","0.058","0.000","true","73.145","7","true","","4.713","orthorhombic",""
"mp-9173","TiO2","Pnma","-3.453","0.059","2.499","true","141.607","12","false","","3.746","orthorhombic",""
"mvc-12404","TiO2","I4/m","-3.451","0.061","2.533","false","158.862","12","true","","3.339","tetragonal",""
"mp-766454","TiO2","C2/m","-3.447","0.065","2.227","true","101.81","9","true","","3.908","monoclinic",""
"mp-430","TiO2","P21/c","-3.447","0.065","2.232","true","119.613","12","false","","4.435","monoclinic",""
"mp-1201727","TiO2","Pnma","-3.445","0.067","2.449","false","571.009","48","false","","3.716","orthorhombic",""
"mp-776456","Ti2O3","P21/m","-3.239","0.074","0.000","true","303.154","30","true","","4.724","monoclinic",""
"mp-756655","TiO2","Pnma","-3.438","0.074","2.430","true","289.963","24","true","","3.659","orthorhombic",""
"mp-776655","Ti2O3","P31c","-3.23","0.083","0.000","true","222.207","20","true","","4.296","trigonal",""
"mp-849533","TiO2","Pnma","-3.422","0.09","2.765","true","319.841","24","true","","3.317","orthorhombic",""
"mp-778663","Ti4O7","P1","-3.331","0.092","0.000","false","493.824","44","true","","4.082","triclinic",""
"mp-1101295","Ti2O3","P21/m","-3.216","0.096","0.121","true","111.449","10","true","","4.283","monoclinic",""
"mp-755264","TiO","P6m2","-2.818","0.098","0.000","true","19.634","2","true","","5.402","hexagonal",""
"mp-1217135","Ti4O3","I4/mmm","-2.442","0.099","0.000","true","76.164","7","true","","5.221","tetragonal",""
"mp-554032","Ti3O","P63/mcm","-1.466","0.108","0.000","true","111.794","8","true","","4.741","hexagonal",""
"mp-756587","TiO2","P63mc","-3.4","0.112","2.330","true","277.756","24","true","","3.82","hexagonal",""
"mp-755300","TiO","Pm3m","-2.803","0.113","0.000","true","68.251","6","true","","4.662","cubic",""
"mp-779692","Ti7O8","Cm","-2.932","0.116","0.000","true","165.564","15","true","","4.644","monoclinic",""
"mp-1190753","TiO2","Pbca","-3.394","0.117","2.107","false","228.498","24","true","","4.643","orthorhombic",""
"mvc-379","Ti2O3","Cmcm","-3.183","0.13","0.000","true","229.724","20","true","","4.156","orthorhombic",""
"mp-754333","TiO","P63/mmc","-2.783","0.132","0.000","true","39.208","4","true","","5.41","hexagonal",""
"mvc-1923","Ti9O13","C2/m","-3.136","0.141","0.000","true","251.487","22","true","","4.218","monoclinic",""
"mp-684733","Ti10O11","P1","-2.864","0.146","0.000","true","424.961","42","true","","5.116","triclinic",""
"mvc-11423","TiO2","Cmcm","-3.365","0.147","2.533","true","144.737","12","true","","3.665","orthorhombic",""
"mvc-12466","TiO2","Pmmn","-3.361","0.151","2.543","false","331.426","24","true","","3.201","orthorhombic",""
"mvc-11600","TiO2","R3m","-3.36","0.152","2.599","true","54.222","3","true","","2.446","trigonal",""
"mp-25433","TiO2","R3m","-3.359","0.153","2.463","true","37.887","3","true","","3.5","trigonal",""
"mvc-2169","Ti5O7","Cmcm","-3.091","0.155","0.000","true","277.163","24","true","","4.21","orthorhombic",""
"mp-1245098","TiO2","P1","-3.35","0.162","2.569","false","1182.741","90","true","","3.364","triclinic",""
"mp-32544","Ti9O8","P1","-2.599","0.162","0.000","false","349.139","34","true","","5.315","triclinic",""
"mp-1245308","TiO2","P1","-3.346","0.166","2.248","false","1070.219","90","true","","3.718","triclinic",""
"mvc-5171","TiO2","P3m1","-3.341","0.171","1.681","false","464.134","36","true","","3.429","trigonal",""
"mvc-9726","TiO2","P3m1","-3.341","0.171","1.785","true","459.969","36","true","","3.46","trigonal",""
"mp-1245134","TiO2","P1","-3.337","0.175","2.412","false","1134.301","90","true","","3.508","triclinic",""
"mp-25262","TiO2","Fd3m","-3.333","0.179","1.718","true","150.215","12","true","","3.531","cubic",""
"mvc-4715","TiO2","Cm","-3.333","0.179","1.074","false","599.286","48","true","","3.541","monoclinic",""
"mvc-11115","TiO2","R3m","-3.331","0.181","2.462","true","149.482","12","true","","3.549","trigonal",""
"mp-685151","TiO","I4/mmm","-2.734","0.182","0.000","true","139.519","12","true","","4.561","tetragonal",""
"mp-1245321","TiO2","P1","-3.327","0.185","2.358","false","1148.147","90","true","","3.465","triclinic",""
"mp-1245051","Ti3O5","P1","-3.196","0.193","0.000","false","1295.453","104","true","","3.726","triclinic",""
"mp-1245086","Ti3O5","P1","-3.196","0.194","0.018","false","1276.219","104","true","","3.782","triclinic",""
"mp-673667","TiO","P1","-2.72","0.196","0.000","false","450.649","42","true","","4.942","triclinic",""
"mp-1245135","Ti3O5","P1","-3.193","0.196","0.022","false","1229.729","104","true","","3.925","triclinic",""
"mp-32813","Ti9O10","P1","-2.824","0.196","0.000","true","204.158","19","true","","4.805","triclinic",""
"mp-1245292","Ti3O5","P1","-3.189","0.2","0.002","false","1284.176","104","true","","3.759","triclinic",""
"mp-1245031","Ti3O5","P1","-3.179","0.21","0.018","false","1335.652","104","true","","3.614","triclinic",""
"mp-1179358","Ti3O7","C2/m","-2.925","0.236","0.156","false","606.208","20","true","","1.4","monoclinic",""
"mp-1217149","Ti9O10","C2/m","-2.775","0.245","0.000","false","218.799","19","true","","4.484","monoclinic",""
"mp-1102591","TiO2","Pa3","-3.262","0.25","1.481","true","117.788","12","true","","4.504","cubic",""
"mp-2664","TiO","Fm3m","-2.642","0.274","0.000","true","19.73","2","false","","5.375","cubic",""
"mp-1245140","Ti3O","P1","-1.291","0.283","0.000","false","1427.916","100","true","","4.64","triclinic",""
"mp-1245176","Ti3O","P1","-1.283","0.291","0.000","false","1435.201","100","true","","4.616","triclinic",""
"mp-1102255","TiO2","Pnma","-3.221","0.291","1.755","true","104.633","12","true","","5.07","orthorhombic",""
"mp-1008677","TiO2","Fm3m","-3.21","0.302","1.118","true","28.345","3","true","","4.679","cubic",""
"mp-636827","TiO2","Pmm2","-3.21","0.302","2.787","true","189.271","6","false","","1.401","orthorhombic",""
"mp-1244944","TiO","P1","-2.613","0.303","0.000","false","1190.527","100","true","","4.454","triclinic",""
"mp-655656","TiO2","Cmm2","-3.207","0.305","2.837","false","378.63","12","false","","1.401","orthorhombic",""
"mp-1245141","TiO","P1","-2.604","0.312","0.000","false","1205.337","100","true","","4.399","triclinic",""
"mp-1245294","TiO","P1","-2.599","0.316","0.000","false","1180.459","100","true","","4.492","triclinic",""
"mp-1245186","Ti2O","P1","-1.721","0.32","0.000","false","1387.411","102","true","","4.547","triclinic",""
