"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-1597","UO2","Fm3m","-3.761","0","0.000","true","39.813","3","false","36","11.263","cubic",""
"mp-308","U3O8","P62m","-3.718","0","0.035","true","168.53","11","false","","8.297","hexagonal",""
"mp-674332","U17O31","Cm","-3.652","0","0.000","true","684.167","48","true","","11.025","monoclinic",""
"mp-375","UO3","Pm3m","-3.624","0","1.646","true","72.241","4","false","","6.575","cubic",""
"mp-698","U3O8","Cmmm","-3.715","0.003","0.000","true","169.342","11","true","","8.257","orthorhombic",""
"mp-559906","U3O8","Cmcm","-3.715","0.003","0.004","true","337.917","22","false","","8.276","orthorhombic",""
"mp-560402","U3O8","Cmcm","-3.705","0.012","0.069","false","341.336","22","false","","8.193","orthorhombic",""
"mp-642328","U13O34","Amm2","-3.704","0.017","0.000","false","731.598","47","false","","8.258","orthorhombic",""
"mp-647814","U2O5","Pbam","-3.71","0.017","0.000","false","896.586","56","false","","8.239","orthorhombic",""
"mp-761153","U6O11","Cm","-3.616","0.043","0.000","true","241.535","17","true","","11.029","monoclinic",""
"mp-294","UO3","I41/amd","-3.541","0.082","1.887","true","492.037","32","false","","7.722","tetragonal",""
"mp-1198490","UO3","Fddd","-3.541","0.083","1.879","true","494.045","32","false","","7.691","orthorhombic",""
"mp-21858","UO3","P212121","-3.541","0.083","1.929","true","220.155","16","false","","8.63","orthorhombic",""
"mp-752998","U3O5","P3m1","-3.437","0.097","0.000","true","119.818","8","true","","11.005","trigonal",""
"mp-8134","UO3","P3m1","-3.51","0.114","1.640","true","52.183","4","false","","9.102","trigonal",""
"mp-684934","U5O11","C2/m","-3.623","0.123","0.000","true","198.916","16","true","","11.404","monoclinic",""
"mp-865305","UO2","P42/mnm","-3.635","0.126","0.000","true","94.794","6","true","","9.46","tetragonal",""
"mp-616580","UO3","P21","-3.489","0.134","1.488","true","614.685","40","false","","7.727","monoclinic",""
"mp-684907","U12O19","P3m1","-3.328","0.138","0.000","true","475.337","31","true","","11.04","trigonal",""
"mp-754893","U4O7","C2/c","-3.436","0.162","0.000","true","321.972","22","true","","10.976","monoclinic",""
"mp-1216910","U3O7","Immm","-3.563","0.174","0.000","false","117.773","10","true","","11.647","orthorhombic",""
"mp-1178928","U3O10","P1","-3.162","0.183","0.000","true","212.218","13","false","","6.839","triclinic",""
"mp-1202033","U3O10","P21/c","-3.156","0.189","0.255","true","846.458","52","false","","6.859","monoclinic",""
"mp-233","UO3","Cmmm","-3.427","0.197","0.468","true","55.348","4","true","","8.581","orthorhombic",""
"mp-1100983","U2O5","C2/m","-3.527","0.2","0.000","false","248.387","21","true","","11.152","monoclinic",""
"mp-7830","UO","Fm3m","-2.616","0.211","0.000","true","28.758","2","false","","14.668","cubic",""
"mp-548170","U3O8","P31m","-3.465","0.253","0.000","true","151.422","11","false","","9.234","trigonal",""
"mp-1179123","U3O10","P21/c","-3.01","0.335","0.000","false","854.255","52","true","","6.796","monoclinic",""
"mp-673671","U11O5","P1","-1.423","0.345","0.000","true","300.76","16","true","","14.898","triclinic",""
"mp-1178859","UO4","Pbca","-2.529","0.369","0.000","true","327.626","20","false","","6.123","orthorhombic",""
"mp-1178838","UO4","P21/c","-2.528","0.371","0.000","false","163.523","10","false","","6.134","monoclinic",""
"mp-1178853","UO4","Cmce","-2.526","0.373","0.000","true","160.144","10","false","","6.263","orthorhombic",""
"mp-1178875","UO11","P1","-0.736","0.472","0.000","false","309.163","12","true","","2.224","triclinic",""
"mp-1072461","UO5","I4/m","-1.836","0.58","0.000","true","96.754","6","false","","5.458","tetragonal",""
"mp-1193479","U3O11","Immm","-2.431","0.675","0.000","false","614.699","28","false","","4.809","orthorhombic",""
"mp-684639","UO3","Pm","-2.81","0.814","0.000","true","346.8","20","true","","6.848","monoclinic",""
