"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-19094","VO2","P42/mnm","-2.485","0","0.000","true","61.942","6","false","188","4.447","tetragonal",""
"mp-25279","V2O5","Pmmn","-2.295","0","2.344","true","200.531","14","false","","3.012","orthorhombic",""
"mp-1275946","V3O5","P1","-2.526","0","1.149","false","174.049","16","true","","4.443","triclinic",""
"mp-18937","V2O3","R3c","-2.528","0","0.489","true","107.195","10","false","","4.644","trigonal",""
"mp-1102963","VO2","P21/c","-2.477","0.001","0.000","true","123.377","12","false","","4.465","monoclinic",""
"mp-715514","V2O3","C2/c","-2.526","0.003","0.000","true","107.392","10","false","","4.635","monoclinic",""
"mp-714911","V3O5","Cc","-2.523","0.003","1.029","false","174.064","16","true","","4.442","monoclinic",""
"mp-776152","V2O5","Pnma","-2.291","0.004","1.795","true","400.337","28","true","","3.018","orthorhombic",""
"mp-622497","V3O5","P2/c","-2.522","0.004","0.000","true","347.978","32","false","","4.444","monoclinic",""
"mp-542334","V5O9","P1","-2.501","0.008","0.782","true","598.064","56","false","","4.428","triclinic",""
"mp-25280","V2O5","Pnma","-2.286","0.009","2.369","true","405.711","28","true","","2.978","orthorhombic",""
"mp-754670","V2O5","Pmmn","-2.286","0.009","2.474","true","262.519","14","false","","2.301","orthorhombic",""
"mp-755235","V2O5","Pnma","-2.284","0.011","2.516","true","511.871","28","true","","2.36","orthorhombic",""
"mp-25233","V2O5","Cmcm","-2.284","0.011","2.467","true","225.524","14","true","","2.678","orthorhombic",""
"mp-754585","V2O5","Fdd2","-2.283","0.012","2.774","true","282.257","14","true","","2.14","orthorhombic",""
"mp-25288","V2O5","Pnma","-2.282","0.013","2.420","true","380.641","28","false","","3.174","orthorhombic",""
"mp-30518","V6O11","P1","-2.491","0.013","0.761","true","363.244","34","false","","4.404","triclinic",""
"mp-714932","V5O9","P1","-2.491","0.017","0.756","false","299.981","28","true","","4.414","triclinic",""
"mp-19184","VO","Fm3m","-2.09","0.017","1.787","false","85.57","8","false","","5.196","cubic",""
"mp-1201338","V6O13","P21/c","-2.397","0.018","0.130","false","460.397","38","false","","3.705","monoclinic",""
"mp-714885","VO","R3m","-2.089","0.018","0.958","true","42.377","4","true","","5.246","trigonal",""
"mp-1094031","VO2","Pbca","-2.467","0.018","0.886","false","258.598","24","true","","4.261","orthorhombic",""
"mp-555597","V4O7","P1","-2.495","0.02","0.564","true","235.101","22","false","","4.461","triclinic",""
"mp-780654","V2O3","Pbca","-2.506","0.022","0.621","true","423.237","40","true","","4.704","orthorhombic",""
"mp-1287184","VO","C2/m","-2.085","0.022","1.979","false","85.685","8","true","","5.189","monoclinic",""
"mp-18896","V6O13","C2/m","-2.392","0.023","0.515","false","230.78","19","false","","3.696","monoclinic",""
"mp-778252","V5O12","P21/c","-2.305","0.024","0.000","false","1042.323","68","true","","2.847","monoclinic",""
"mp-756395","V3O7","I4/mmm","-2.328","0.024","0.000","true","367.702","30","true","","3.588","tetragonal",""
"mp-1100908","VO2","C2/m","-2.46","0.025","0.698","true","125.027","12","false","","4.406","monoclinic",""
"mp-27412","V4O9","Pnma","-2.358","0.025","0.407","true","643.934","52","false","","3.587","orthorhombic",""
"mp-777479","VO2","Pnma","-2.459","0.026","1.481","true","194.542","12","true","","2.832","orthorhombic",""
"mp-849565","V2O5","P2/c","-2.269","0.026","2.314","true","1503.977","98","true","","2.811","monoclinic",""
"mp-19457","V6O13","Cm","-2.387","0.028","0.000","true","460.292","38","true","","3.706","monoclinic",""
"mp-30987","V3O5","C2/c","-2.496","0.029","0.000","true","173.466","16","false","","4.457","monoclinic",""
"mp-622640","V3O7","C2/c","-2.322","0.03","0.996","true","772.501","60","false","","3.415","monoclinic",""
"mp-25207","V2O5","C2/m","-2.265","0.03","1.661","true","278.399","21","true","","3.255","monoclinic",""
"mp-510568","V2O5","P21/m","-2.265","0.03","1.734","true","168.274","14","false","","3.59","monoclinic",""
"mp-559485","V9O17","P1","-2.468","0.03","0.453","true","550.169","52","false","","4.409","triclinic",""
"mp-541404","VO2","C2/m","-2.455","0.03","0.780","true","144.169","12","false","","3.821","monoclinic",""
"mp-754451","V5O12","C2","-2.296","0.032","1.431","true","510.226","34","true","","2.908","monoclinic",""
"mp-1274098","V3O5","C2","-2.493","0.032","0.811","false","173.964","16","true","","4.445","monoclinic",""
"mp-773019","V12O29","C2/m","-2.29","0.033","0.537","true","526.855","41","true","","3.389","monoclinic",""
"mp-776041","V2O5","P21/c","-2.261","0.034","2.080","true","446.265","28","true","","2.707","monoclinic",""
"mp-849581","V9O22","P21/m","-2.279","0.035","0.000","false","807.928","62","true","","3.331","monoclinic",""
"mp-27151","V7O13","P1","-2.476","0.038","0.000","true","426.151","40","false","","4.4","triclinic",""
"mp-777469","VO2","Cmcm","-2.447","0.038","0.000","false","151.777","12","true","","3.63","orthorhombic",""
"mp-21579","V2O3","Ia3","-2.489","0.039","0.000","true","438.799","40","false","","4.538","cubic",""
"mp-715617","V6O13","Cmcm","-2.375","0.04","0.000","false","457.303","38","true","","3.73","orthorhombic",""
"mp-1021522","VO2","P21/c","-2.445","0.04","0.944","true","260.353","24","true","","4.232","monoclinic",""
"mp-1178787","VO2","P4/ncc","-2.444","0.04","1.261","false","575.279","48","false","","3.831","tetragonal",""
"mp-1104615","V2O5","P1","-2.254","0.042","2.432","true","286.864","14","false","","2.106","triclinic",""
"mp-1281814","VO2","I4/m","-2.44","0.045","0.810","false","151.511","12","true","","3.636","tetragonal",""
"mp-849537","V6O11","Cmcm","-2.456","0.048","0.531","true","395.073","34","true","","4.049","orthorhombic",""
"mvc-13330","V3O7","Pnma","-2.302","0.051","1.454","false","608.223","40","true","","2.892","orthorhombic",""
"mp-1094019","V6O13","P21/m","-2.364","0.051","0.000","true","460.457","38","true","","3.705","monoclinic",""
"mp-849511","VO2","P1","-2.433","0.052","0.585","true","176.214","15","true","","3.908","triclinic",""
"mvc-11086","V2O5","Pbam","-2.239","0.056","1.443","false","203.799","14","true","","2.964","orthorhombic",""
"mp-715035","VO2","Pma2","-2.427","0.058","0.808","true","574.561","48","true","","3.835","orthorhombic",""
"mp-715517","VO2","P1","-2.427","0.058","0.954","false","574.765","48","true","","3.834","triclinic",""
"mp-1273331","VO","P4/nmm","-2.049","0.058","1.547","false","86.107","8","true","","5.164","tetragonal",""
"mp-1272932","VO2","C2","-2.426","0.059","1.072","false","213.789","18","true","","3.865","monoclinic",""
"mp-1190609","VO2","Pnma","-2.426","0.059","0.000","true","277.466","24","false","","3.971","orthorhombic",""
"mp-554064","V6O13","Fmmm","-2.355","0.06","0.000","false","454.91","38","false","","3.75","orthorhombic",""
"mp-542844","V2O5","C2/c","-2.235","0.061","1.418","true","149.172","14","false","","4.049","monoclinic",""
"mp-1315852","VO2","P1","-2.423","0.062","0.867","false","213.984","18","true","","3.862","triclinic",""
"mp-1297038","VO2","P1","-2.422","0.063","0.999","false","155.748","12","true","","3.537","triclinic",""
"mp-755411","VO2","C2/m","-2.422","0.063","0.277","true","214.902","18","true","","3.845","monoclinic",""
"mp-1277428","VO2","P1","-2.421","0.064","1.157","false","213.78","18","true","","3.865","triclinic",""
"mp-714921","V6O13","P21/m","-2.351","0.064","0.000","false","460.457","38","false","","3.705","monoclinic",""
"mp-1245120","V2O5","P1","-2.228","0.068","1.897","false","1815.696","105","true","","2.495","triclinic",""
"mp-1273390","VO2","P21","-2.416","0.069","1.488","false","280.32","24","true","","3.931","monoclinic",""
"mp-1285965","VO2","Cc","-2.415","0.07","1.283","false","213.718","18","true","","3.867","monoclinic",""
"mp-777580","V5O12","P1","-2.258","0.071","1.252","true","196.975","17","true","","3.766","triclinic",""
"mp-685164","V25O32","C2","-2.295","0.071","0.233","false","646.622","57","true","","4.585","monoclinic",""
"mp-1292869","VO2","Pc","-2.412","0.073","1.448","false","280.076","24","true","","3.934","monoclinic",""
"mp-1293568","VO2","Pmn21","-2.411","0.074","1.404","false","278.747","24","true","","3.953","orthorhombic",""
"mp-1287710","VO2","Pmc21","-2.41","0.075","1.373","false","279.214","24","true","","3.946","orthorhombic",""
"mp-777698","V2O3","C2/m","-2.454","0.075","0.000","true","158.047","15","true","","4.724","monoclinic",""
"mp-1297456","VO2","P1","-2.409","0.075","1.246","false","280.982","24","true","","3.921","triclinic",""
"mp-1304076","V2O3","P1","-2.45","0.079","1.845","false","156.773","15","true","","4.763","triclinic",""
"mp-764115","V3O7","P31c","-2.27","0.082","1.161","true","1009.66","60","true","","2.613","trigonal",""
"mp-1101328","V9O22","P21","-2.23","0.084","1.088","false","767.225","62","true","","3.508","monoclinic",""
"mp-776630","V2O3","P21/m","-2.46","0.086","0.915","true","315.032","30","true","","4.74","monoclinic",""
"mp-776688","V2O3","P21/c","-2.442","0.087","1.217","true","236.657","20","true","","4.207","monoclinic",""
"mp-1245162","V2O5","P1","-2.208","0.087","1.584","false","1670.215","105","true","","2.712","triclinic",""
"mp-1314858","VO2","C2","-2.397","0.088","1.137","false","215.867","18","true","","3.828","monoclinic",""
"mp-20593","VO2","I4/mmm","-2.397","0.088","0.000","true","141.824","12","false","","3.884","tetragonal",""
"mp-1245156","V2O5","P1","-2.205","0.09","1.900","false","1610.6","105","true","","2.813","triclinic",""
"mp-776583","V9O22","P1","-2.224","0.09","0.908","true","761.689","62","true","","3.534","triclinic",""
"mp-772530","V5O12","C2","-2.239","0.09","1.052","true","205.602","17","true","","3.608","monoclinic",""
"mp-1297307","VO2","Imma","-2.393","0.092","1.088","false","137.716","12","true","","4","orthorhombic",""
"mp-755394","VO2","Imma","-2.39","0.095","0.000","true","141.704","12","true","","3.888","orthorhombic",""
"mp-1196958","V6O13","Pc","-2.315","0.1","0.066","false","461.993","38","false","","3.692","monoclinic",""
"mp-1245000","V2O5","P1","-2.191","0.105","0.033","false","2079.54","105","true","","2.179","triclinic",""
"mp-1245137","V2O5","P1","-2.187","0.108","0.337","false","1895.404","105","true","","2.39","triclinic",""
"mp-1244889","V2O5","P1","-2.187","0.108","0.542","false","1820.452","105","true","","2.489","triclinic",""
"mp-715664","V4O9","Cmcm","-2.267","0.116","0.408","true","712.445","52","false","","3.242","orthorhombic",""
"mp-1244996","V2O5","P1","-2.177","0.118","0.922","false","1971.637","105","true","","2.298","triclinic",""
"mvc-10961","V4O9","P4/n","-2.262","0.121","0.012","false","362.19","26","true","","3.189","tetragonal",""
"mp-20974","VO2","Pnma","-2.362","0.123","0.394","true","133.399","12","false","","4.13","orthorhombic",""
"mp-1245219","V2O5","P1","-2.17","0.126","0.449","false","1600.199","105","true","","2.831","triclinic",""
"mp-1178905","V3O8","Pnma","-2.063","0.127","0.601","true","607.408","44","false","","3.071","orthorhombic",""
"mp-1178826","V2O5","C2/m","-2.168","0.128","1.467","true","87.728","7","false","","3.443","monoclinic",""
"mp-624689","V2O5","Pmmn","-2.162","0.133","1.361","true","189.161","14","false","","3.193","orthorhombic",""
"mvc-5548","VO2","Cm","-2.351","0.134","0.000","false","449.366","36","true","","3.678","monoclinic",""
"mp-714944","VO2","C2/m","-2.347","0.138","1.160","true","37.009","3","true","","3.721","monoclinic",""
"mp-715598","V7O13","P1","-2.359","0.143","0.546","false","426.886","40","true","","4.392","triclinic",""
"mp-556566","V8O15","P1","-2.343","0.156","0.652","true","486.427","46","false","","4.421","triclinic",""
"mvc-12615","VO2","Pmmn","-2.327","0.157","0.855","false","328.331","24","true","","3.356","orthorhombic",""
"mp-714960","VO2","I41/amd","-2.326","0.158","0.000","true","147.273","12","true","","3.741","tetragonal",""
"mp-547074","VO2","Pnnm","-2.322","0.163","0.000","true","61.621","6","false","","4.47","orthorhombic",""
"mp-716723","V9O17","P1","-2.334","0.164","0.565","false","549.686","52","true","","4.413","triclinic",""
"mvc-13223","VO2","P21/m","-2.32","0.165","1.116","false","331.35","24","true","","3.325","monoclinic",""
"mvc-11624","VO2","C2/c","-2.315","0.17","1.064","false","147.894","12","true","","3.725","monoclinic",""
"mvc-2547","V5O7","Cmcm","-2.249","0.173","0.550","true","292.368","24","true","","4.165","orthorhombic",""
"mp-1178828","V3O8","Cc","-2.008","0.183","0.000","false","285.765","22","true","","3.264","monoclinic",""
"mp-1204545","V5O14","P1","-1.911","0.203","0.000","false","1833.5","76","false","","1.734","triclinic",""
"mp-21018","V4O7","P1","-2.312","0.203","0.752","false","225.956","22","true","","4.641","triclinic",""
"mp-1178827","V3O8","C2/m","-1.986","0.205","0.000","true","139.65","11","false","","3.339","monoclinic",""
"mp-705541","V10O9","P1","-1.744","0.209","1.147","true","210.056","19","true","","5.165","triclinic",""
"mvc-2293","V9O13","C2/m","-2.278","0.212","0.000","true","266.046","22","true","","4.16","monoclinic",""
"mp-1245059","VO2","P1","-2.27","0.215","0.679","false","1365.229","102","true","","3.43","triclinic",""
"mp-1245012","VO2","P1","-2.249","0.236","0.894","false","1501.344","102","true","","3.119","triclinic",""
"mvc-6393","VO2","Cmcm","-2.232","0.253","0.000","true","139.42","12","true","","3.951","orthorhombic",""
"mvc-5310","VO2","P1","-2.231","0.254","0.000","false","587.867","48","true","","3.748","triclinic",""
"mvc-13110","VO2","R3m","-2.22","0.265","0.000","true","53.736","3","true","","2.563","trigonal",""
"mp-25199","VO2","R3m","-2.219","0.265","0.000","true","37.566","3","true","","3.666","trigonal",""
"mvc-11573","VO2","P63/mmc","-2.218","0.267","0.000","true","79.227","6","true","","3.477","hexagonal",""
"mp-25283","VO2","Fd3m","-2.217","0.268","0.000","false","147.097","12","true","","3.745","cubic",""
"mp-715553","VO2","P1","-2.212","0.273","0.000","true","135.951","12","true","","4.052","triclinic",""
"mp-715493","V4O7","P1","-2.24","0.274","1.006","true","260.831","22","true","","4.02","triclinic",""
"mvc-11089","VO2","R3m","-2.187","0.298","0.097","false","144.73","12","true","","3.806","trigonal",""
"mvc-10109","VO2","P1","-2.185","0.3","0.917","true","445.886","36","true","","3.707","triclinic",""
"mp-715457","V4O7","P1","-2.2","0.315","0.358","true","266.622","22","true","","3.933","triclinic",""
"mp-1207792","VO3","Imma","-1.676","0.333","0.000","true","96.3","8","true","","3.412","orthorhombic",""
"mp-1178794","VO3","C2/m","-1.648","0.36","0.079","true","268.157","16","false","","2.451","monoclinic",""
"mp-634430","VO2","I41/a","-2.107","0.378","0.000","true","147.895","12","true","","3.725","tetragonal",""
"mp-1179070","V3O10","P4bm","-1.44","0.413","0.000","true","435.037","26","false","","2.388","tetragonal",""
"mp-714931","VO2","P1","-1.998","0.487","1.256","true","271.269","12","false","","2.031","triclinic",""
"mp-1245315","V2O5","P1","-1.799","0.496","1.141","false","1857.913","105","true","","2.438","triclinic",""
"mp-559445","VO2","P2/m","-1.989","0.496","1.280","true","285.922","12","false","","1.927","monoclinic",""
"mp-636746","VO2","P1","-1.987","0.498","1.212","false","277.704","12","false","","1.984","triclinic",""
"mp-1245221","V2O5","P1","-1.794","0.502","0.926","false","1920.119","105","true","","2.359","triclinic",""
"mp-1244920","V2O5","P1","-1.793","0.503","0.945","false","1930.723","105","true","","2.346","triclinic",""
"mp-1245101","V2O5","P1","-1.791","0.505","0.782","false","1815.661","105","true","","2.495","triclinic",""
"mp-1245160","V2O5","P1","-1.79","0.505","0.513","false","1850.805","105","true","","2.448","triclinic",""
"mp-1244904","V2O5","P1","-1.79","0.505","0.810","false","1888.86","105","true","","2.398","triclinic",""
"mp-1245174","V2O5","P1","-1.786","0.51","0.743","false","1736.066","105","true","","2.61","triclinic",""
"mp-1245275","V2O5","P1","-1.783","0.512","0.993","false","2010.187","105","true","","2.254","triclinic",""
"mp-1245097","V2O5","P1","-1.783","0.512","0.467","false","1913.219","105","true","","2.368","triclinic",""
"mp-1244925","V2O5","P1","-1.776","0.52","0.528","false","1887.767","105","true","","2.4","triclinic",""
"mp-1245284","V2O5","P1","-1.771","0.525","1.044","false","1896.884","105","true","","2.388","triclinic",""
"mp-1245049","V2O5","P1","-1.769","0.526","0.788","false","1884.299","105","true","","2.404","triclinic",""
"mp-1245142","V2O5","P1","-1.769","0.526","0.409","false","1948.471","105","true","","2.325","triclinic",""
"mp-1245240","V2O5","P1","-1.767","0.529","0.344","false","2022.578","105","true","","2.24","triclinic",""
"mp-1245096","V2O5","P1","-1.766","0.529","0.732","false","1723.165","105","true","","2.629","triclinic",""
"mp-566801","VO2","P2/m","-1.955","0.53","1.123","true","299.436","12","true","","1.84","monoclinic",""
"mp-1245005","V2O5","P1","-1.763","0.532","0.614","false","1792.637","105","true","","2.527","triclinic",""
"mp-1244978","V2O5","P1","-1.763","0.533","0.121","false","1936.927","105","true","","2.339","triclinic",""
"mp-1245171","V2O5","P1","-1.763","0.533","0.914","false","1821.633","105","true","","2.487","triclinic",""
"mp-1245325","V2O5","P1","-1.762","0.534","1.074","false","1890.464","105","true","","2.396","triclinic",""
"mp-1245058","V2O5","P1","-1.761","0.534","0.773","false","1911.418","105","true","","2.37","triclinic",""
"mp-1244961","V2O5","P1","-1.76","0.535","0.888","false","1857.199","105","true","","2.439","triclinic",""
"mp-1245312","V2O5","P1","-1.756","0.54","0.891","false","1747.396","105","true","","2.593","triclinic",""
"mp-1245153","V2O5","P1","-1.756","0.54","0.653","false","1852.709","105","true","","2.445","triclinic",""
"mp-1245198","V2O5","P1","-1.755","0.54","0.250","false","2001.686","105","true","","2.263","triclinic",""
"mp-1245118","V2O5","P1","-1.754","0.541","0.767","false","1865.685","105","true","","2.428","triclinic",""
"mp-1244942","V2O5","P1","-1.754","0.541","0.163","false","1871.105","105","true","","2.421","triclinic",""
"mp-1245272","V2O5","P1","-1.753","0.542","0.950","false","1800.612","105","true","","2.516","triclinic",""
"mp-1245040","V2O5","P1","-1.749","0.546","0.705","false","1838.405","105","true","","2.464","triclinic",""
"mp-1244985","V2O5","P1","-1.749","0.546","0.523","false","1840.193","105","true","","2.462","triclinic",""
"mp-1178831","V4O7","P1","-1.966","0.549","0.000","false","494.451","22","true","","2.121","triclinic",""
"mp-1244901","V2O5","P1","-1.745","0.55","0.477","false","1676.796","105","true","","2.702","triclinic",""
