"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-11025","ZnP2","P43212","-0.249","0","1.466","true","484.822","24","false","12","3.49","tetragonal",""
"mp-2071","Zn3P2","P42/nmc","-0.188","0","0.605","true","756.171","40","false","","4.536","tetragonal",""
"mp-2782","ZnP2","P41212","-0.249","0","1.467","true","484.786","24","false","","3.49","tetragonal",""
"mp-1392","ZnP2","P21/c","-0.245","0.004","0.748","true","484.676","24","false","","3.491","monoclinic",""
"mp-1197170","Zn3P2","Ia3","-0.167","0.022","0.374","false","748.262","40","false","","4.584","cubic",""
"mp-14587","ZnP4","P41212","-0.086","0.063","1.005","true","372.59","20","false","","3.375","tetragonal",""
"mp-1207476","Zn7P10","Fdd2","-0.164","0.067","1.486","false","628.888","34","true","","4.054","orthorhombic",""
"mp-7846","Zn3P2","Pn3m","-0.006","0.183","0.119","true","186.787","10","false","","4.59","cubic",""
"mp-680550","ZnP2","P21/c","-0.059","0.19","0.000","true","490.182","24","false","","3.451","monoclinic",""
"mp-1187918","Zn3P","Pm3m","0.18","0.298","0.000","true","62.832","4","true","","6.005","cubic",""
"mp-971863","ZnP","P63mc","0.107","0.318","0.000","true","79.103","4","true","","4.047","hexagonal",""
"mp-1207457","Zn2P","Pn3m","0.236","0.393","0.000","true","148.491","6","true","","3.619","cubic",""
